question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible,dataset_split,question_tr,answer_tr
QA0011,What type of cybersecurity assessment should be included in the organization's cybersecurity safeguard validation (audit) plan?,The plan should include red team cybersecurity assessments in its assessment plan.,simple,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,1,False,train,Kuruluşun siber güvenlik önlemi doğrulama (denetim) planına ne tür bir siber güvenlik değerlendirmesi dahil edilmelidir?,"Plan, değerlendirme planında kırmızı takım siber güvenlik değerlendirmelerini içermelidir."
QA0012,Who is responsible for ensuring that servers used for authentication have valid certificates?,"All servers used for authentication, such as RADIUS or TACACS, must have a valid certificate signed by a known trusted provider.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,2,False,train,Kimlik doğrulama için kullanılan sunucuların geçerli sertifikalara sahip olmasını sağlamaktan kim sorumludur?,"Kimlik doğrulama için kullanılan RADIUS veya TACACS gibi tüm sunucuların, bilinen bir güvenilir sağlayıcı tarafından imzalanmış geçerli bir sertifikaya sahip olması gerekir."
QA0013,Who is responsible for ensuring that the organization's documented privacy program defines a process for recording and maintaining an individual's privacy preferences?,The organization is responsible for ensuring that its documented privacy program defines a process for recording and maintaining an individual's privacy preferences.,simple,SANS_Privacy_Management_Policy_April2025.pdf,Safeguards,0,False,train,"Kuruluşun belgelenmiş gizlilik programının, bireyin gizlilik tercihlerinin kaydedilmesine ve sürdürülmesine yönelik bir süreç tanımlamasını sağlamaktan kim sorumludur?","Kuruluş, belgelenmiş gizlilik programının, bireyin gizlilik tercihlerinin kaydedilmesine ve sürdürülmesine yönelik bir süreç tanımlamasını sağlamaktan sorumludur."
QA0014,What should be protected by cabling security measures?,"Cables carrying power, data, or supporting information services should be protected.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.12,0,False,train,Kablolama güvenlik önlemleriyle neler korunmalıdır?,"Güç, veri veya bilgi hizmetlerini destekleyen kablolar korunmalıdır."
QA0015,What information about each information asset must the asset tracking system record?,"The asset tracking system must record essential technical information, including the name, hardware address, and network address, for each information asset. It must also record essential business information, such as the business owner, criticality, business unit, and approvals, for each information asset.",simple,SANS_Asset_Management_Policy_April2025.pdf,Safeguards,0,False,train,Varlık takip sistemi her bir bilgi varlığı hakkında hangi bilgileri kaydetmelidir?,"Varlık izleme sistemi, her bilgi varlığı için ad, donanım adresi ve ağ adresi dahil olmak üzere temel teknik bilgileri kaydetmelidir.Ayrıca her bilgi varlığı için iş sahibi, kritiklik, iş birimi ve onaylar gibi temel iş bilgilerini de kaydetmelidir."
QA0016,"Who is authorized to monitor equipment, systems, and network traffic?","Authorized individuals within <Company Name> may monitor equipment, systems, and network traffic at any time, per Infosec's Audit Policy.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,False,train,"Ekipmanı, sistemleri ve ağ trafiğini izlemeye kim yetkilidir?","<Şirket Adı> içindeki yetkili kişiler, Infosec'in Denetim Politikası uyarınca ekipmanı, sistemleri ve ağ trafiğini istedikleri zaman izleyebilir."
QA0017,Who is responsible for defining and implementing processes and procedures to manage information security risks associated with supplier's products or services?,Processes and procedures related to information security risks associated with supplier products or services should be defined and implemented by the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.19,0,False,train,Tedarikçinin ürün veya hizmetlerine ilişkin bilgi güvenliği risklerini yönetmek için süreç ve prosedürleri tanımlamak ve uygulamaktan kim sorumludur?,Tedarikçi ürün veya hizmetlerine ilişkin bilgi güvenliği riskleriyle ilgili süreç ve prosedürler kuruluş tarafından tanımlanmalı ve uygulanmalıdır.
QA0018,Which coding standards should software application developers follow to ensure they are using approved encryption algorithms?,Software application developers should follow coding standards that define how they will utilize organization and industry-approved encryption algorithms in their software applications.,simple,SANS_Software_Development_Management_Policy_April2025.pdf,Safeguards,1,False,train,Yazılım uygulaması geliştiricilerinin onaylanmış şifreleme algoritmalarını kullandıklarından emin olmak için hangi kodlama standartlarını takip etmeleri gerekir?,"Yazılım uygulaması geliştiricileri, yazılım uygulamalarında organizasyon ve sektör onaylı şifreleme algoritmalarını nasıl kullanacaklarını tanımlayan kodlama standartlarına uymalıdır."
QA0019,What are the requirements for the effective use of cryptography?,"The policy states that rules for the effective use of cryptography, including cryptographic key management, must be defined and implemented.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.24,0,False,train,Kriptografinin etkili kullanımı için gereksinimler nelerdir?,"Politika, kriptografik anahtar yönetimi de dahil olmak üzere kriptografinin etkin kullanımına yönelik kuralların tanımlanması ve uygulanması gerektiğini belirtir."
QA0020,What is the purpose of the network device management system?,"The network device management system is responsible for regularly scanning for new network devices, monitoring their status, logging and alerting when they are offline, performing IP Address Management (IPAM), recording netflow data, comparing configurations, and ensuring devices use the latest firmware.",simple,SANS_Network_Device_Management_Policy_April2025.docx,Safeguards,1,False,train,Ağ cihazı yönetim sisteminin amacı nedir?,"Ağ cihazı yönetim sistemi, yeni ağ cihazlarını düzenli olarak taramaktan, durumlarını izlemekten, çevrimdışı olduklarında günlüğe kaydetmeden ve uyarı vermekten, IP Adresi Yönetimini (IPAM) gerçekleştirmekten, netflow verilerini kaydetmekten, yapılandırmaları karşılaştırmaktan ve cihazların en son ürün yazılımını kullanmasını sağlamaktan sorumludur."
QA0021,Who is responsible for regularly reviewing the logs aggregated from the organization's information systems?,"The organization's regular log review process should include clear Service Level Agreements (SLAs) for who should monitor aggregated information system logs, such as a Security Operations Center (SOC).",simple,SANS_Log_Management_Policy_April2025.pdf,Safeguards,1,False,train,Kuruluşun bilgi sistemlerinden toplanan günlüklerin düzenli olarak incelenmesinden kim sorumludur?,"Kuruluşun düzenli günlük inceleme süreci, Güvenlik Operasyon Merkezi (SOC) gibi toplu bilgi sistemi günlüklerini kimin izlemesi gerektiğine ilişkin açık Hizmet Düzeyi Anlaşmalarını (SLA'lar) içermelidir."
QA0022,Who is responsible for ensuring that AI system use meets the requirements?,The requester is responsible for ensuring that the use of an AI system meets the requirements before submitting a request to the AI Committee.,simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,17,False,train,Yapay zeka sistemi kullanımının gereklilikleri karşılamasını sağlamaktan kim sorumludur?,"Talep sahibi, AI Komitesine bir talep göndermeden önce bir AI sisteminin kullanımının gereklilikleri karşıladığından emin olmaktan sorumludur."
QA0023,What are the potential consequences for non-compliance with this policy?,"Non-compliance with this policy may result in disciplinary action, ranging from mandatory training and warnings to suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.",simple,SANS_Internet_Usage_Standard_April2025.pdf,Policy Sanctions,0,False,train,Bu politikaya uyulmamasının olası sonuçları nelerdir?,"Bu politikaya uyulmaması, zorunlu eğitim ve uyarılardan uzaktan erişim ayrıcalıklarının askıya alınmasına ve ciddi durumlarda iş akdinin veya sözleşmeden doğan yükümlülüklerin feshine kadar uzanan disiplin cezalarıyla sonuçlanabilir."
QA0024,What are the specific types of alerts that need to be tracked by the log management system?,This policy does not specify the types of alerts that need to be tracked by the log management system.,negative,SANS_Log_Management_Policy_April2025.pdf,Safeguards,2,True,train,Günlük yönetim sistemi tarafından izlenmesi gereken belirli uyarı türleri nelerdir?,"Bu politika, günlük yönetim sistemi tarafından izlenmesi gereken uyarı türlerini belirtmez."
QA0025,"What are the processes for acquiring, using, managing, and exiting cloud services?","The organization should establish processes for each stage of cloud service lifecycle, including acquisition, use, management, and exit, to ensure compliance with information security requirements.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.23,0,False,train,"Bulut hizmetlerini edinme, kullanma, yönetme ve bu hizmetlerden çıkma süreçleri nelerdir?","Kuruluş, bilgi güvenliği gereksinimlerine uygunluğu sağlamak amacıyla bulut hizmeti yaşam döngüsünün satın alma, kullanım, yönetim ve çıkış dahil her aşamasına yönelik süreçler oluşturmalıdır."
QA0026,What are the requirements for security testing in the development life cycle?,Security testing processes must be defined and implemented in the development life cycle.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.29,0,False,train,Geliştirme yaşam döngüsünde güvenlik testi gereksinimleri nelerdir?,"Güvenlik testi süreçleri, geliştirme yaşam döngüsünde tanımlanmalı ve uygulanmalıdır."
QA0027,Which laws and regulations must the organization follow regarding privacy and PII protection?,The organization must identify and meet the requirements regarding privacy and protection of PII according to applicable laws and regulations and contractual requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.34,0,False,train,Kuruluşun gizlilik ve kişisel bilgilerin korunması konusunda hangi yasa ve düzenlemelere uyması gerekir?,"Kuruluş, yürürlükteki yasa ve düzenlemelere ve sözleşme gerekliliklerine göre kişisel bilgilerin gizliliği ve korunmasına ilişkin gereklilikleri tanımlamalı ve karşılamalıdır."
QA0028,Who are the target audiences for vulnerability reports generated by the VM system?,"The VM system reports discovered vulnerabilities to the organization's technical staff, business unit staff, and business leadership staff regularly.",simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,1,False,train,VM sistemi tarafından oluşturulan güvenlik açığı raporlarının hedef kitleleri kimlerdir?,"VM sistemi, tespit edilen güvenlik açıklarını kuruluşun teknik personeline, iş birimi personeline ve iş liderliği personeline düzenli olarak rapor eder."
QA0029,Which type of cybersecurity business intelligence software platform is required to adhere to the policy?,"The policy requires the organization's Governance, Risk, and Compliance (GRC) or similar cybersecurity business intelligence software platform to adhere to its requirements.",simple,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,1,False,train,Politikaya uymak için hangi tür siber güvenlik iş zekası yazılım platformu gereklidir?,"Politika, kuruluşun Yönetişim, Risk ve Uyumluluk (GRC) veya benzeri siber güvenlik iş zekası yazılım platformunun gereksinimlerine uymasını gerektirir."
QA0030,What is the purpose of the Vulnerability Management (VM) system?,The Vulnerability Management (VM) system is intended to track open vulnerabilities in the organization's information systems.,simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,1,False,train,Güvenlik Açığı Yönetimi (VM) sisteminin amacı nedir?,"Güvenlik Açığı Yönetimi (VM) sistemi, kuruluşun bilgi sistemlerindeki açık güvenlik açıklarını izlemeyi amaçlamaktadır."
QA0031,What actions are considered security breaches?,"Security breaches encompass accessing data not intended for an employee, logging into unauthorized servers or accounts, and any activity that disrupts network communication. Examples include accessing data without authorization, logging into unauthorized accounts, network sniffing, and denial of service attacks.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,5,False,train,Hangi eylemler güvenlik ihlali olarak kabul edilir?,"Güvenlik ihlalleri, bir çalışana yönelik olmayan verilere erişimi, yetkisiz sunuculara veya hesaplara giriş yapmayı ve ağ iletişimini bozan her türlü etkinliği kapsar.Örnekler arasında verilere yetkisiz erişim, yetkisiz hesaplarda oturum açma, ağ dinleme ve hizmet reddi saldırıları yer alır."
QA0032,What are the specific legal consequences for using AI systems in personnel decisions?,This policy snippet does not specify the legal consequences for using AI systems in personnel decisions.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,15,True,train,Personel kararlarında yapay zeka sistemlerinin kullanılmasının spesifik yasal sonuçları nelerdir?,"Bu politika pasajı, personel kararlarında yapay zeka sistemlerinin kullanılmasının hukuki sonuçlarını belirtmez."
QA0033,How are public keys used for authentication and what are the recommended methods for verifying them?,This policy snippet does not specify the recommended methods for verifying public keys or the specific details of authentication using public keys.,negative,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,1,True,train,Kimlik doğrulama için ortak anahtarlar nasıl kullanılır ve bunları doğrulamak için önerilen yöntemler nelerdir?,"Bu politika pasajı, ortak anahtarları doğrulamak için önerilen yöntemleri veya ortak anahtarlar kullanılarak yapılan kimlik doğrulamanın belirli ayrıntılarını belirtmez."
QA0034,What specific cybersecurity safeguards are required to be implemented to achieve a high cybersecurity rating?,The policy snippet does not specify the specific cybersecurity safeguards required for a high cybersecurity rating.,negative,SANS_Third_Party_Management_Policy_April2025.pdf,Safeguards,3,True,train,Yüksek bir siber güvenlik derecelendirmesine ulaşmak için hangi spesifik siber güvenlik önlemlerinin uygulanması gerekiyor?,"Politika snippet'i, yüksek bir siber güvenlik derecelendirmesi için gerekli olan spesifik siber güvenlik önlemlerini belirtmemektedir."
QA0035,"What security measures are required to ensure that all remote connections are secure and monitored, and what are the potential consequences of non-compliance?","To ensure secure and monitored remote connections, the organization must implement perimeter network firewalls with Multi-Factor Authentication (MFA), encrypted channels (TLS), and User Behavior Analytics (UBA), along with full packet capture and IDS/IPS systems at the perimeter network connections.  Non-compliance with these security measures could result in disciplinary action, potentially ranging from training and warnings to temporary suspension of remote access privileges.",complex,SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf|SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train,Tüm uzak bağlantıların güvenli olmasını ve izlenmesini sağlamak için hangi güvenlik önlemleri gereklidir ve uyumsuzluğun olası sonuçları nelerdir?,"Güvenli ve izlenen uzak bağlantılar sağlamak için kuruluşun, çevre ağ bağlantılarında tam paket yakalama ve IDS/IPS sistemlerinin yanı sıra Multi-Factor Authentication (MFA), şifreli kanallar (TLS) ve Kullanıcı Davranışı Analitiği (UBA) içeren çevre ağ güvenlik duvarları uygulaması gerekir.Bu güvenlik önlemlerine uyulmaması, potansiyel olarak eğitim ve uyarılardan uzaktan erişim ayrıcalıklarının geçici olarak askıya alınmasına kadar değişen disiplin cezalarıyla sonuçlanabilir."
QA0036,What are the possible consequences for violating this policy?,"Disciplinary action, including mandatory training, written warnings, suspension of remote access privileges, and, in severe cases, termination of employment or contractual obligations, may be imposed. Violations involving illegal activities could result in legal consequences.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,10,False,train,Bu politikanın ihlal edilmesinin olası sonuçları nelerdir?,"Zorunlu eğitim, yazılı uyarılar, uzaktan erişim ayrıcalıklarının askıya alınması ve ciddi durumlarda iş akdinin veya sözleşmeden doğan yükümlülüklerin feshi dahil olmak üzere disiplin cezaları uygulanabilir.Yasa dışı faaliyetler içeren ihlaller hukuki sonuçlara yol açabilir."
QA0037,"According to the provided policy snippets, what is the primary cybersecurity concern for high-risk AI systems, and how can providers ensure its mitigation?","The primary cybersecurity concern for high-risk AI systems is malicious third-party attacks that can exploit vulnerabilities in the system's digital assets or underlying ICT infrastructure to compromise its security properties. Providers of these systems should ensure a level of cybersecurity appropriate to the risks by implementing suitable measures, considering the underlying ICT infrastructure.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,25|26,False,train,"Sağlanan politika parçacıklarına göre, yüksek riskli yapay zeka sistemleri için birincil siber güvenlik endişesi nedir ve sağlayıcılar bunun azaltılmasını nasıl sağlayabilir?","Yüksek riskli yapay zeka sistemlerine yönelik birincil siber güvenlik kaygısı, sistemin dijital varlıklarındaki veya temeldeki BİT altyapısındaki güvenlik açıklarından yararlanarak güvenlik özelliklerini tehlikeye atabilecek kötü niyetli üçüncü taraf saldırılarıdır.Bu sistemlerin sağlayıcıları, temeldeki BİT altyapısını dikkate alarak uygun önlemleri uygulayarak risklere uygun bir siber güvenlik düzeyi sağlamalıdır."
QA0038,What are the specific requirements for employee training on information security?,This policy snippet does not specify the requirements for employee training on information security.,negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,True,train,Bilgi güvenliği konusunda çalışanların eğitimi için özel gereksinimler nelerdir?,"Bu politika pasajı, çalışanların bilgi güvenliği konusunda eğitimine ilişkin gereklilikleri belirtmez."
QA0039,What are the key security measures outlined in the policy to protect the organization's email systems from malware and phishing attacks?,"The policy outlines several security measures to protect email systems from malware and phishing attacks. These include ensuring that email systems perform malware and anti-phishing content filtering for all emails, as well as utilizing attachment filtering with sandboxes to validate attachments. Additionally, the policy mandates that email systems utilize encrypted connections (TLS) between all email servers and that they block emails from domains not utilizing appropriate DNS records (including SPF, DKIM, and DMARC).",complex,SANS_Email_Management_Policy_April2025.pdf|SANS_Email_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train,Kuruluşun e-posta sistemlerini kötü amaçlı yazılımlardan ve kimlik avı saldırılarından korumaya yönelik politikada belirtilen temel güvenlik önlemleri nelerdir?,"Politika, e-posta sistemlerini kötü amaçlı yazılımlardan ve kimlik avı saldırılarından korumak için çeşitli güvenlik önlemlerini özetlemektedir.Bunlar, e-posta sistemlerinin tüm e-postalar için kötü amaçlı yazılım ve kimlik avına karşı içerik filtrelemesi gerçekleştirmesini sağlamanın yanı sıra, ekleri doğrulamak için korumalı alanlarla ek filtrelemeyi kullanmayı içerir.Ayrıca politika, e-posta sistemlerinin tüm e-posta sunucuları arasında şifreli bağlantılar (TLS) kullanmasını ve uygun DNS kayıtlarını (SPF, DKIM ve DMARC dahil) kullanmayan alanlardan gelen e-postaları engellemesini zorunlu kılar."
QA0040,What is the policy's focus?,The policy focuses on maintaining secure and reliable backups for the organization's computing systems and data.,simple,SANS_Resilience_Management_Policy_April2025.pdf,Safeguards,4,False,train,Politikanın odak noktası nedir?,"Politika, kuruluşun bilgi işlem sistemleri ve verileri için güvenli ve güvenilir yedeklemelerin sürdürülmesine odaklanmaktadır."
QA0041,"According to the policy documents, what is the purpose of the organization's cybersecurity project tracking system?","The cybersecurity project tracking system is used to document each of the organization's active cybersecurity projects, track the capital and personnel implementation costs, prioritize projects, and track the status of each project. It also serves as a central repository for documenting approved cybersecurity exceptions and issues that may cause information systems or software applications to be out of compliance with the organization's approved cybersecurity safeguards.",complex,SANS_Safeguard_Implementation_Management_Policy_April2025.pdf|SANS_Safeguard_Implementation_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train,Politika belgelerine göre kuruluşun siber güvenlik proje takip sisteminin amacı nedir?,"Siber güvenlik proje takip sistemi, kurumun aktif siber güvenlik projelerinin her birini belgelemek, sermaye ve personel uygulama maliyetlerini takip etmek, projeleri önceliklendirmek ve her projenin durumunu takip etmek için kullanılır.Ayrıca, onaylanmış siber güvenlik istisnalarını ve bilgi sistemlerinin veya yazılım uygulamalarının kuruluşun onaylı siber güvenlik önlemleriyle uyumsuz olmasına neden olabilecek sorunları belgelemek için merkezi bir depo görevi de görür."
QA0042,"According to YourCompanyName's policies, what is required when using an AI system to assist with a task that involves personal information?","To use an AI system to assist with a task that involves personal information, you must obtain informed consent from the individual whose personal information will be inputted into the AI system. This ensures that individuals are aware of how their information will be used.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,12|13,False,train,"YourCompanyName'in politikalarına göre, kişisel bilgileri içeren bir göreve yardımcı olmak için bir yapay zeka sistemi kullanılırken ne gereklidir?","Kişisel bilgileri içeren bir göreve yardımcı olması amacıyla bir yapay zeka sistemi kullanmak için, kişisel bilgileri yapay zeka sistemine girilecek kişiden bilgilendirilmiş onay almanız gerekir.Bu, bireylerin bilgilerinin nasıl kullanılacağının farkında olmalarını sağlar."
QA0043,"According to the policies, what is the minimum level of approval required for the cybersecurity program charter and what is the consequence of not meeting this requirement?","The cybersecurity program charter must be reviewed and formally approved by the organization's board of directors or executive leadership team, and it must be formally approved by the organization's board of directors or executive leadership team. Non-compliance with this policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could be subject to legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Program_Management_Policy_April2025.pdf|SANS_Program_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train,Politikalara göre siber güvenlik programı tüzüğü için gereken minimum onay düzeyi nedir ve bu gereksinimin karşılanmamasının sonucu nedir?,"Siber güvenlik programı tüzüğü, kuruluşun yönetim kurulu veya yönetici liderlik ekibi tarafından incelenip resmi olarak onaylanmalı ve kuruluşun yönetim kurulu veya yönetici liderlik ekibi tarafından da resmi olarak onaylanmalıdır.Bu politikaya uyulmaması, zorunlu tazeleme eğitimi ve yazılı uyarılardan, uzaktan erişim ayrıcalıklarının geçici olarak askıya alınmasına ve ciddi durumlarda iş akdinin veya sözleşmeden doğan yükümlülüklerin feshine kadar değişen disiplin cezalarıyla sonuçlanabilir.İhlallerin yasa dışı faaliyetleri içermesi durumunda bireyler, geçerli yasalar kapsamında hukuki sonuçlara maruz kalabilir."
