question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
SIMP0037,What is the policy's main focus?,The policy focuses on integrating information security practices into project management processes.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.8,0,False
SIMP0038,Who is responsible for developing and maintaining an inventory of information and associated assets?,The policy requires that an inventory of information and associated assets be developed and maintained. The policy does not specify who is responsible for this task.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.9,0,False
SIMP0039,What is the policy's focus?,This policy outlines the requirements for background verification checks on all candidates seeking employment within the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.1,0,False
SIMP0040,Why are background checks required?,"Background checks are necessary to ensure the security of sensitive information, comply with relevant laws and regulations, and mitigate potential risks associated with employment.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.1,0,False
SIMP0041,Who is responsible for information security?,The employment contractual agreements should state the responsibilities for information security for both the personnel and the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.2,0,False
SIMP0042,"Who is responsible for providing information security awareness, education and training?","Personnel of the organization and relevant interested parties are responsible for receiving information security awareness, education and training.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.3,0,False
SIMP0043,How often should personnel receive updates on the organization's information security policy?,Personnel should receive regular updates of the organization's information security policy.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.3,0,False
SIMP0044,Who is subject to disciplinary action under this policy?,Personnel and other relevant interested parties who have committed an information security policy violation are subject to disciplinary action.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.4,0,False
SIMP0045,Who is responsible for communicating information security responsibilities and duties after termination or change of employment?,"Relevant personnel and other interested parties should be informed about the defined, enforced, and communicated information security responsibilities and duties.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.5,0,False
SIMP0046,Who should sign confidentiality or non-disclosure agreements?,Personnel and other relevant interested parties need to sign confidentiality or non-disclosure agreements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.6,0,False
SIMP0047,Who is responsible for implementing security measures for remote working?,"Personnel working remotely are responsible for implementing security measures to protect information accessed, processed, or stored outside the organization’s premises.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.7,0,False
SIMP0048,What is the purpose of the information security event reporting mechanism?,The purpose of the information security event reporting mechanism is to allow personnel to report observed or suspected information security events to the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.8,0,False
SIMP0049,What are security perimeters used for?,Security perimeters are used to protect areas containing information and other associated assets.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.1,0,False
SIMP0050,What is the purpose of the policy?,"The policy outlines the procedures for managing storage media throughout their lifecycle, including acquisition, use, transportation, and disposal, in accordance with the organization's classification scheme and handling requirements.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.10,0,False
SIMP0051,What is the policy's focus?,"The policy focuses on protecting information processing facilities from disruptions caused by failures in supporting utilities, such as power outages.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.11,0,False
SIMP0052,What should be protected by cabling security measures?,"Cables carrying power, data, or supporting information services should be protected.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.12,0,False
SIMP0053,What is the purpose of equipment maintenance according to this policy?,"Equipment maintenance is intended to ensure the availability, integrity, and confidentiality of information.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.13,0,False
SIMP0054,Who is responsible for verifying that sensitive data and licensed software has been removed or securely overwritten?,Employees are responsible for verifying that sensitive data and licensed software has been removed or securely overwritten before disposal or re-use of equipment.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.14,0,False
SIMP0055,What access controls should be used to secure physical entry points?,The policy states that secure areas should be protected by appropriate entry controls and access points.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.2,0,False
SIMP0056,"What are the requirements for securing offices, rooms and facilities?","The policy states that physical security measures should be designed and implemented for offices, rooms, and facilities.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.3,0,False
SIMP0057,What is the policy requirement regarding physical security monitoring?,The policy mandates continuous monitoring of premises for unauthorized physical access.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.4,0,False
SIMP0058,What types of threats does this policy address?,This policy addresses threats such as natural disasters and intentional or unintentional physical threats to infrastructure.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.5,0,False
SIMP0059,What are the security measures required for working in secure areas?,The policy requires the design and implementation of security measures for working in secure areas.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.6,0,False
SIMP0060,What is the purpose of the clear desk policy?,The clear desk policy aims to minimize the risk of sensitive information being compromised by ensuring that work areas are kept organized and secure.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.7,0,False
SIMP0061,What is required for equipment security?,Equipment must be sited securely and protected.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.8,0,False
SIMP0062,What is the policy's focus?,The policy emphasizes the need to protect assets that are located off-premises.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.9,0,False
SIMP0063,What is the policy's focus?,"The policy emphasizes the protection of information stored, processed, or accessible via user endpoint devices.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.1,0,False
SIMP0064,What is the policy's recommendation regarding information storage?,"The policy recommends that information stored in information systems, devices, or storage media should be deleted when no longer needed.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.10,0,False
SIMP0065,What is the purpose of data masking?,"Data masking is used in accordance with the organization’s topic-specific policy on access control and other related topic-specific policies, and business requirements, taking applicable legislation into consideration.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.11,0,False
SIMP0066,Who is responsible for implementing data leakage prevention measures?,"Systems, networks, and devices that process, store, or transmit sensitive information are subject to data leakage prevention measures.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.12,0,False
SIMP0067,Where should backup copies be maintained?,Backup copies should be maintained in accordance with the agreed topic-specific policy on backup.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.13,0,False
SIMP0068,What is the minimum redundancy required for information processing facilities?,The policy states that information processing facilities should have redundancy sufficient to meet availability requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.14,0,False
SIMP0069,Who is responsible for analyzing logs?,The policy states that logs should be analyzed.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.15,0,False
SIMP0070,"What is the purpose of network, system, and application monitoring?",Monitoring activities are conducted to detect anomalous behavior and enable the evaluation of potential information security incidents.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.16,0,False
SIMP0071,What is the requirement regarding clock synchronization?,The policy mandates that clocks of information processing systems used by the organization must be synchronized to approved time sources.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.17,0,False
SIMP0072,What is the policy regarding the use of privileged utility programs?,The policy restricts the use of utility programs that can override system and application controls.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.18,0,False
SIMP0073,What procedures and measures should be implemented to secure software installation on operational systems?,Procedures and measures should be implemented to ensure the secure installation of software on operational systems.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.19,0,False
SIMP0074,Who is responsible for managing the allocation and use of privileged access rights?,The policy does not specify who is responsible for managing the allocation and use of privileged access rights.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.2,0,False
SIMP0075,What is the primary purpose of securing networks and network devices?,The primary purpose of network and network device security is to protect information within systems and applications.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.20,0,False
SIMP0076,What security mechanisms are required for network services?,"The policy states that security mechanisms for network services must be identified, implemented, and monitored.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.21,0,False
SIMP0077,"According to the policy, what should be segregated within the organization's networks?","Information services, users, and information systems should be segregated.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.22,0,False
SIMP0078,What is the main purpose of web filtering?,Web filtering aims to minimize the risk of exposure to malicious content when accessing external websites.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.23,0,False
SIMP0079,What are the requirements for the effective use of cryptography?,"The policy states that rules for the effective use of cryptography, including cryptographic key management, must be defined and implemented.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.24,0,False
SIMP0080,What are the rules for the secure development of software and systems?,The rules for the secure development of software and systems should be established and applied.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.25,0,False
SIMP0081,"Who is responsible for identifying, specifying, and approving information security requirements for applications?","The process of identifying, specifying, and approving information security requirements for applications is the responsibility of the development team or acquiring team.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.26,0,False
SIMP0082,What are the principles for engineering secure systems?,"The policy states that principles for engineering secure systems should be established, documented, maintained, and applied to any information system development activities.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.27,0,False
SIMP0083,What are the secure coding principles to be applied in software development?,The policy outlines that secure coding principles should be applied to software development.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.28,0,False
SIMP0084,What are the requirements for security testing in the development life cycle?,Security testing processes must be defined and implemented in the development life cycle.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.29,0,False
SIMP0085,Who determines the access control policies?,The established topic-specific policy on access control determines access control policies.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.3,0,False
SIMP0086,Who is responsible for overseeing outsourced system development?,"The organization is responsible for directing, monitoring, and reviewing outsourced system development activities.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.30,0,False
SIMP0087,"What are the key security requirements for development, testing, and production environments?","The policy mandates that development, testing, and production environments be separated and secured.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.31,0,False
SIMP0088,Who is responsible for following change management procedures?,Information processing facilities and information systems subject to change management procedures must be implemented according to established change management procedures.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.32,0,False
SIMP0089,What are the requirements for test information?,"The policy states that test information should be appropriately selected, protected, and managed.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.33,0,False
SIMP0090,Who is responsible for planning and agreeing on audit tests and assurance activities involving assessment of operational systems?,The tester and appropriate management are responsible for planning and agreeing on audit tests and assurance activities involving assessment of operational systems.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.34,0,False
SIMP0091,Who is responsible for managing access to source code?,The policy does not specify who is responsible for managing access to source code.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.4,0,False
SIMP0092,What authentication technologies should be implemented?,Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.5,0,False
SIMP0093,Who is responsible for monitoring and adjusting resource usage?,Individuals should monitor and adjust resource usage in line with current and expected capacity requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.6,0,False
SIMP0094,What is the primary focus of the policy regarding malware?,The policy emphasizes the implementation and support of user awareness measures to protect against malware.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.7,0,False
SIMP0095,Who is responsible for evaluating the organization's exposure to technical vulnerabilities?,The policy does not specify who is responsible for evaluating the organization's exposure to technical vulnerabilities.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.8,0,False
SIMP0096,"Who is responsible for establishing, documenting, implementing, monitoring, and reviewing configurations?","Organizations are responsible for establishing, documenting, implementing, monitoring, and reviewing configurations for hardware, software, services, and networks.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.9,0,False
SIMP0097,Which encryption standards are explicitly recommended for use by the company?,The company strongly recommends the use of the Advanced Encryption Standard (AES) for symmetric encryption.,simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,0,False
SIMP0098,What is the primary reason for the policy's existence?,"The policy aims to provide guidance on the use of encryption, ensuring algorithms have received significant public scrutiny and proven effectiveness.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,0,False
SIMP0099,Which algorithms are strongly recommended for asymmetric encryption?,The use of the RSA and Elliptic Curve Cryptography (ECC) algorithms is strongly recommended for asymmetric encryption.,simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,1,False
SIMP0100,What is the minimum key length for RSA algorithms according to the policy?,The RSA algorithm must use a key length of 2048 bits.,simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,1,False
SIMP0101,What is the recommended method for authenticating keys used to establish trust?,Authentication methods include transmission via a cryptographically signed message or manual verification of the public key hash.,simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,2,False
SIMP0102,Who is responsible for ensuring that servers used for authentication have valid certificates?,"All servers used for authentication, such as RADIUS or TACACS, must have a valid certificate signed by a known trusted provider.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,2,False
SIMP0103,What types of sanctions are outlined in the policy for policy violations?,"The policy outlines written warnings, temporary suspension of remote access privileges, and, in severe cases, termination of employment or contractual obligations as potential sanctions for policy violations.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,3,False
SIMP0104,Who could be subject to legal consequences for violating the policy?,"Individuals who violate the policy could be subject to legal consequences under applicable laws, particularly if the violation involves illegal activities.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,3,False
SIMP0105,Who is responsible for ensuring that proprietary information is protected?,Employees are responsible for ensuring that proprietary information is protected in accordance with the Data Protection Standard.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,0,False
SIMP0106,What is the responsibility of employees regarding the unauthorized disclosure of company proprietary information?,"You have a responsibility to promptly report the theft, loss, or unauthorized disclosure of <Company Name> proprietary information.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,0,False
SIMP0107,"Who is authorized to monitor equipment, systems, and network traffic?","Authorized individuals within <Company Name> may monitor equipment, systems, and network traffic at any time, per Infosec's Audit Policy.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,False
SIMP0108,What is the minimum time that a password-protected lock screen must be active before it automatically locks?,A password-protected lock screen must be active for at least 10 minutes or less.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,False
SIMP0109,What is the policy's primary focus?,"The policy outlines acceptable and unacceptable use of company resources, emphasizing security precautions and employee responsibilities.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,2,False
SIMP0110,Who is specifically prohibited from engaging in certain activities?,"The policy states that employees of <Company Name> are prohibited from engaging in any activity that is illegal under local, state, federal, or international law while using company-owned resources.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,2,False
SIMP0111,What are some examples of activities that are strictly prohibited according to the policy?,"The policy prohibits violations of intellectual property rights, including unauthorized copying of copyrighted material, installation of unlicensed software, and unauthorized access to data or accounts. It also prohibits exporting software or technology in violation of export control laws.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,3,False
SIMP0112,Who should users consult before exporting software or technology?,"Users should consult the appropriate management before exporting software or technology, as this activity may be subject to international or regional export control laws.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,3,False
SIMP0113,What actions are prohibited when conducting business for <Company Name>?,"Conducting business for <Company Name> is prohibited, even if authorized access is granted. This includes exporting software, technical information, encryption software or technology, violating international or regional export control laws, and engaging in activities that violate sexual harassment or hostile workplace laws.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,4,False
SIMP0114,Who should be consulted before exporting any material that is in question?,The appropriate management should be consulted prior to exporting any material that is in question.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,4,False
SIMP0115,What actions are considered security breaches?,"Security breaches encompass accessing data not intended for an employee, logging into unauthorized servers or accounts, and any activity that disrupts network communication. Examples include accessing data without authorization, logging into unauthorized accounts, network sniffing, and denial of service attacks.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,5,False
SIMP0116,Which activities are expressly prohibited?,"The policy explicitly prohibits port scanning and network monitoring that intercepts data not intended for the employee's host. Introducing honeypots or honeynets on the network, and interfering with or denying service to any other user are also forbidden.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,5,False
SIMP0117,Which activity is prohibited by the policy?,"Introducing honeypots, honeynets, or similar technology on the <Company Name> network, interfering with or denying service to any user other than the employee's host, and providing information about, or lists of, <Company Name> employees to parties outside <Company Name>.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,6,False
SIMP0118,Who is responsible for representing the company's interests when using company resources to access the internet?,"When using company resources to access the internet, users are responsible for representing the company's interests.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,6,False
SIMP0119,What is prohibited under the policy regarding unsolicited email messages?,"Unsolicited email messages, including unsolicited advertising material, are prohibited. This includes harassment via email, text, or other forms of communication.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,7,False
SIMP0120,Which actions are prohibited regarding the use of email header information?,Unauthorized use or forging of email header information is prohibited.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,7,False
SIMP0121,Who is prohibited from using <Company Name>’s systems to engage in blogging?,Employees are prohibited from using <Company Name>’s systems to engage in blogging.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,8,False
SIMP0122,What restrictions apply to employees' use of <Company Name>’s systems for blogging?,"Employees are permitted to use <Company Name>’s systems for blogging, but only in limited and occasional circumstances. These circumstances must be professional, responsible, and not detrimental to <Company Name>’s best interests or interfere with their regular work duties.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,8,False
SIMP0123,What are the potential consequences of violating this policy?,Non-compliance with this policy may result in disciplinary action in line with the corporation's human resources procedures. Consequences may range from mandatory refresher training and written warnings to temporary suspension.,simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,9,False
SIMP0124,Which activities are specifically prohibited when blogging?,"Employees are prohibited from engaging in blogging that may harm or tarnish the image, reputation, and/or goodwill of <Company Name> and/or any of its employees. They may also not attribute personal statements, opinions, or beliefs to <Company Name> when engaged in blogging.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,9,False
SIMP0125,What are the possible consequences for violating this policy?,"Disciplinary action, including mandatory training, written warnings, suspension of remote access privileges, and, in severe cases, termination of employment or contractual obligations, may be imposed. Violations involving illegal activities could result in legal consequences.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,10,False
SIMP0126,Who is responsible for enforcing this policy?,"The policy emphasizes the critical importance of cybersecurity and the individual's role in protecting digital assets. Enforcement will be consistent and impartial, with the severity of the action corresponding directly to the seriousness of the breach.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,10,False
SIMP0127,Who is responsible for defining roles and responsibilities for the organization's workforce members?,The organization shall define a process for creating and documenting roles and responsibilities for each of the organization's workforce members.,simple,SANS_Access_Management_Policy_April2025.pdf,Safeguards,0,False
SIMP0128,What principle does the organization need to consider when defining roles?,The organization needs to consider the principle of separation of duties when defining roles.,simple,SANS_Access_Management_Policy_April2025.pdf,Safeguards,0,False
SIMP0129,What is the primary purpose of maintaining Access Control Lists (ACLs) on code repositories?,"Maintaining ACLs on code repositories is intended to ensure that access to code is granted based on approved documentation, roles, and the principle of least privilege.",simple,SANS_Access_Management_Policy_April2025.pdf,Safeguards,1,False
SIMP0130,Who is responsible for ensuring that the organization's Access Control Lists (ACLs) enforce encryption of data at rest?,The organization is responsible for ensuring that their Access Control Lists (ACLs) enforce encryption of data at rest on each computing system.,simple,SANS_Access_Management_Policy_April2025.pdf,Safeguards,1,False
