question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible,dataset_split
QA0011,What type of cybersecurity assessment should be included in the organization's cybersecurity safeguard validation (audit) plan?,The plan should include red team cybersecurity assessments in its assessment plan.,simple,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0012,Who is responsible for ensuring that servers used for authentication have valid certificates?,"All servers used for authentication, such as RADIUS or TACACS, must have a valid certificate signed by a known trusted provider.",simple,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,2,False,train
QA0013,Who is responsible for ensuring that the organization's documented privacy program defines a process for recording and maintaining an individual's privacy preferences?,The organization is responsible for ensuring that its documented privacy program defines a process for recording and maintaining an individual's privacy preferences.,simple,SANS_Privacy_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0014,What should be protected by cabling security measures?,"Cables carrying power, data, or supporting information services should be protected.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.12,0,False,train
QA0015,What information about each information asset must the asset tracking system record?,"The asset tracking system must record essential technical information, including the name, hardware address, and network address, for each information asset. It must also record essential business information, such as the business owner, criticality, business unit, and approvals, for each information asset.",simple,SANS_Asset_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0016,"Who is authorized to monitor equipment, systems, and network traffic?","Authorized individuals within <Company Name> may monitor equipment, systems, and network traffic at any time, per Infosec's Audit Policy.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,False,train
QA0017,Who is responsible for defining and implementing processes and procedures to manage information security risks associated with supplier's products or services?,Processes and procedures related to information security risks associated with supplier products or services should be defined and implemented by the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.19,0,False,train
QA0018,Which coding standards should software application developers follow to ensure they are using approved encryption algorithms?,Software application developers should follow coding standards that define how they will utilize organization and industry-approved encryption algorithms in their software applications.,simple,SANS_Software_Development_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0019,What are the requirements for the effective use of cryptography?,"The policy states that rules for the effective use of cryptography, including cryptographic key management, must be defined and implemented.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.24,0,False,train
QA0020,What is the purpose of the network device management system?,"The network device management system is responsible for regularly scanning for new network devices, monitoring their status, logging and alerting when they are offline, performing IP Address Management (IPAM), recording netflow data, comparing configurations, and ensuring devices use the latest firmware.",simple,SANS_Network_Device_Management_Policy_April2025.docx,Safeguards,1,False,train
QA0021,Who is responsible for regularly reviewing the logs aggregated from the organization's information systems?,"The organization's regular log review process should include clear Service Level Agreements (SLAs) for who should monitor aggregated information system logs, such as a Security Operations Center (SOC).",simple,SANS_Log_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0022,Who is responsible for ensuring that AI system use meets the requirements?,The requester is responsible for ensuring that the use of an AI system meets the requirements before submitting a request to the AI Committee.,simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,17,False,train
QA0023,What are the potential consequences for non-compliance with this policy?,"Non-compliance with this policy may result in disciplinary action, ranging from mandatory training and warnings to suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.",simple,SANS_Internet_Usage_Standard_April2025.pdf,Policy Sanctions,0,False,train
QA0024,What are the specific types of alerts that need to be tracked by the log management system?,This policy does not specify the types of alerts that need to be tracked by the log management system.,negative,SANS_Log_Management_Policy_April2025.pdf,Safeguards,2,True,train
QA0025,"What are the processes for acquiring, using, managing, and exiting cloud services?","The organization should establish processes for each stage of cloud service lifecycle, including acquisition, use, management, and exit, to ensure compliance with information security requirements.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.23,0,False,train
QA0026,What are the requirements for security testing in the development life cycle?,Security testing processes must be defined and implemented in the development life cycle.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.29,0,False,train
QA0027,Which laws and regulations must the organization follow regarding privacy and PII protection?,The organization must identify and meet the requirements regarding privacy and protection of PII according to applicable laws and regulations and contractual requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.34,0,False,train
QA0028,Who are the target audiences for vulnerability reports generated by the VM system?,"The VM system reports discovered vulnerabilities to the organization's technical staff, business unit staff, and business leadership staff regularly.",simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0029,Which type of cybersecurity business intelligence software platform is required to adhere to the policy?,"The policy requires the organization's Governance, Risk, and Compliance (GRC) or similar cybersecurity business intelligence software platform to adhere to its requirements.",simple,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0030,What is the purpose of the Vulnerability Management (VM) system?,The Vulnerability Management (VM) system is intended to track open vulnerabilities in the organization's information systems.,simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0031,What actions are considered security breaches?,"Security breaches encompass accessing data not intended for an employee, logging into unauthorized servers or accounts, and any activity that disrupts network communication. Examples include accessing data without authorization, logging into unauthorized accounts, network sniffing, and denial of service attacks.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,5,False,train
QA0032,What are the specific legal consequences for using AI systems in personnel decisions?,This policy snippet does not specify the legal consequences for using AI systems in personnel decisions.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,15,True,train
QA0033,How are public keys used for authentication and what are the recommended methods for verifying them?,This policy snippet does not specify the recommended methods for verifying public keys or the specific details of authentication using public keys.,negative,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,1,True,train
QA0034,What specific cybersecurity safeguards are required to be implemented to achieve a high cybersecurity rating?,The policy snippet does not specify the specific cybersecurity safeguards required for a high cybersecurity rating.,negative,SANS_Third_Party_Management_Policy_April2025.pdf,Safeguards,3,True,train
QA0035,"What security measures are required to ensure that all remote connections are secure and monitored, and what are the potential consequences of non-compliance?","To ensure secure and monitored remote connections, the organization must implement perimeter network firewalls with Multi-Factor Authentication (MFA), encrypted channels (TLS), and User Behavior Analytics (UBA), along with full packet capture and IDS/IPS systems at the perimeter network connections.  Non-compliance with these security measures could result in disciplinary action, potentially ranging from training and warnings to temporary suspension of remote access privileges.",complex,SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf|SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0036,What are the possible consequences for violating this policy?,"Disciplinary action, including mandatory training, written warnings, suspension of remote access privileges, and, in severe cases, termination of employment or contractual obligations, may be imposed. Violations involving illegal activities could result in legal consequences.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,10,False,train
QA0037,"According to the provided policy snippets, what is the primary cybersecurity concern for high-risk AI systems, and how can providers ensure its mitigation?","The primary cybersecurity concern for high-risk AI systems is malicious third-party attacks that can exploit vulnerabilities in the system's digital assets or underlying ICT infrastructure to compromise its security properties. Providers of these systems should ensure a level of cybersecurity appropriate to the risks by implementing suitable measures, considering the underlying ICT infrastructure.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,25|26,False,train
QA0038,What are the specific requirements for employee training on information security?,This policy snippet does not specify the requirements for employee training on information security.,negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,True,train
QA0039,What are the key security measures outlined in the policy to protect the organization's email systems from malware and phishing attacks?,"The policy outlines several security measures to protect email systems from malware and phishing attacks. These include ensuring that email systems perform malware and anti-phishing content filtering for all emails, as well as utilizing attachment filtering with sandboxes to validate attachments. Additionally, the policy mandates that email systems utilize encrypted connections (TLS) between all email servers and that they block emails from domains not utilizing appropriate DNS records (including SPF, DKIM, and DMARC).",complex,SANS_Email_Management_Policy_April2025.pdf|SANS_Email_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0040,What is the policy's focus?,The policy focuses on maintaining secure and reliable backups for the organization's computing systems and data.,simple,SANS_Resilience_Management_Policy_April2025.pdf,Safeguards,4,False,train
QA0041,"According to the policy documents, what is the purpose of the organization's cybersecurity project tracking system?","The cybersecurity project tracking system is used to document each of the organization's active cybersecurity projects, track the capital and personnel implementation costs, prioritize projects, and track the status of each project. It also serves as a central repository for documenting approved cybersecurity exceptions and issues that may cause information systems or software applications to be out of compliance with the organization's approved cybersecurity safeguards.",complex,SANS_Safeguard_Implementation_Management_Policy_April2025.pdf|SANS_Safeguard_Implementation_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0042,"According to YourCompanyName's policies, what is required when using an AI system to assist with a task that involves personal information?","To use an AI system to assist with a task that involves personal information, you must obtain informed consent from the individual whose personal information will be inputted into the AI system. This ensures that individuals are aware of how their information will be used.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,12|13,False,train
QA0043,"According to the policies, what is the minimum level of approval required for the cybersecurity program charter and what is the consequence of not meeting this requirement?","The cybersecurity program charter must be reviewed and formally approved by the organization's board of directors or executive leadership team, and it must be formally approved by the organization's board of directors or executive leadership team. Non-compliance with this policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could be subject to legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Program_Management_Policy_April2025.pdf|SANS_Program_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0044,"What specific actions does the organization's removable media safeguard system take to ensure data security, and how does it achieve this?","The organization's removable media safeguard system tracks data owners on approved devices responsible for the media, disables removable storage media on computing systems that do not require such devices, and only allows authorized users to read and write to authorized removable media devices. This system utilizes encryption for data security, ensuring only authorized users can write to authorized removable media devices.",complex,SANS_System_Protection_Management_Policy_April2025.pdf|SANS_System_Protection_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0045,What are the potential consequences for non-compliance with this policy?,"Non-compliance with this policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws.",simple,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0046,"Based on the provided policy snippets, what security measures should be implemented to ensure only authorized accounts exist in the organization's identity management system?","To ensure only authorized accounts exist in the organization's identity management system, the organization must implement a process for regular identity reviews of its Identity Providers (IDPs) as defined in policy snippet B. This process should also ensure that the configuration benchmarks for each IDP require strong passwords, account lockouts if a defined threshold of failed login attempts is exceeded, and passwords to be stored encrypted and hashed using salts as outlined in policy snippet B.",complex,SANS_Identity_Management_Policy_April2025.pdf|SANS_Identity_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0047,"What are the requirements for securing offices, rooms and facilities?","The policy states that physical security measures should be designed and implemented for offices, rooms, and facilities.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_7.3,0,False,train
QA0048,What specific cybersecurity safeguards are outlined in this policy?,This policy snippet does not specify the exact cybersecurity safeguards that must be implemented.,negative,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,0,True,train
QA0049,"According to the policy, what is required for maintaining Access Control Lists (ACLs) on code repositories?","To maintain Access Control Lists (ACLs) on code repositories, the organization must follow approved documentation, roles, and the principle of least privilege.",complex,SANS_Access_Management_Policy_April2025.pdf|SANS_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0050,"According to the policy, what are the specific actions that an individual can expect if they violate the cybersecurity program charter policy?","Non-compliance with the policy may result in disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges, and in severe cases, termination of employment or contractual obligations. Individuals could also be subject to legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Program_Management_Policy_April2025.pdf|SANS_Program_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0051,"Why are high-quality training, validation, and testing data sets important for AI systems?","High-quality data is crucial for the performance of many AI systems, especially when techniques like model training are involved. This ensures that the AI system functions as intended and safely, preventing the possibility of discrimination prohibited by Union law.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,20,False,train
QA0052,Which systems must the organization maintain an inventory of privileged accounts on?,"The organization must maintain an inventory of privileged accounts on endpoint computing systems, server computing systems, network devices, enterprise business applications.",simple,SANS_Privileged_Account_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0053,"What actions are prohibited for employees when using company resources to access the internet, and what is the expectation regarding the content of their communications?","Employees must be aware that when using company resources to access the internet, they represent the company.  They are expected to clearly indicate that any opinions expressed are their own and not necessarily those of the company.  Additionally, employees are prohibited from sending unsolicited email messages, including junk mail or other advertising material.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,6|7,False,train
QA0054,Which central software platform is mentioned for documenting and tracking cybersecurity assessment results?,"A Governance, Risk, and Compliance (GRC) tool is mentioned as a central software platform for documenting and tracking cybersecurity assessment results.",simple,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0055,"According to the policy, how does the organization ensure that the Endpoint Detection and Response (EDR) system is used effectively for cybersecurity incident response?",The organization ensures the EDR system's effectiveness for cybersecurity incident response by generating a database of the signatures (hashes) for all files on each computing system. This allows for detailed analysis of potential threats and efficient response to incidents.,complex,SANS_System_Protection_Management_Policy_April2025.pdf|SANS_System_Protection_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0056,"What are the responsibilities of YourCompanyName Representatives when using AI systems, according to the provided policies?","YourCompanyName Representatives are responsible for reviewing AI-produced content for bias and correcting it as necessary. They must also document all AI systems they are utilizing and for what functions, including documenting the use of AI in code sections. This documentation includes the specific AI-derived code sections and who reviewed them, ensuring compliance with contractual limitations and ethical considerations.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,8|9,False,train
QA0057,Who is responsible for reviewing AI-generated content for accuracy and general proofing and editing?,"An individual with expertise in evaluating such content for accuracy, as well as general proofing and editing, must review all AI-generated content.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,8,False,train
QA0058,"Who is responsible for identifying, documenting, and implementing rules for acceptable use of information and other associated assets?","The organization is responsible for identifying, documenting, and implementing rules for acceptable use of information and other associated assets.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.10,0,False,train
QA0059,Who is responsible for protecting digital assets?,The policy emphasizes that individuals are responsible for protecting our digital assets.,simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0060,How should cybersecurity risk be reported on the dashboards?,"The policy mandates that the dashboards report cybersecurity risk on a safeguard basis, and it also specifies that approved exceptions should be considered in the reporting process.",simple,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0061,Who is responsible for ensuring that database passwords are controlled and changed in accordance with the Password Policy?,Developer groups are responsible for ensuring that database passwords are controlled and changed in accordance with the Password Policy.,simple,SANS_Database_Credentials_Standard_April2025.pdf,full,4,False,train
QA0062,Who is responsible for monitoring and adjusting resource usage?,Individuals should monitor and adjust resource usage in line with current and expected capacity requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.6,0,False,train
QA0063,What are the specific security requirements for using AI tools in the context of this policy?,This policy snippet does not specify the security requirements for using AI tools.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,2,True,train
QA0064,Who can disable the software agents used by the EDR system?,Standard computing system users cannot disable the software agents used by the EDR system.,simple,SANS_System_Protection_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0065,Which entities are considered Government Entities?,"Government Entities include any entity controlled by a government, whether through whole or partial ownership or control. This includes government-owned or controlled commercial enterprises, institutions, agencies, departments, instrumentalities, and other public entities, including research institutions and universities.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,2,False,train
QA0066,What are the specific procedures for handling a cybersecurity incident?,This policy snippet does not specify procedures for handling a cybersecurity incident.,negative,SANS_Program_Management_Policy_April2025.pdf,Safeguards,1,True,train
QA0067,Which systems are the organization's information systems?,The text states that the organization's Vulnerability Management (VM) system scans for weaknesses in the organization's information systems.,simple,SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0068,What is the frequency of reporting on cybersecurity risk to non-executive stakeholders?,The policy snippet does not specify the frequency of reporting cybersecurity risk to non-executive stakeholders.,negative,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,1,True,train
QA0069,What information should be included in the technical documentation for high-risk AI systems?,"The technical documentation should include the typical characteristics, capabilities and limitations of the system, algorithms, data, training, testing, and validation processes used, as well as documentation on the relevant risk management system.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,23,False,train
QA0070,Who is responsible for managing access to source code?,The policy does not specify who is responsible for managing access to source code.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.4,0,False,train
QA0071,"According to the policy documents, what is the role of the AI Committee in relation to AI systems at YourCompanyName?",The AI Committee is tasked with reviewing and approving uses of AI at YourCompanyName. This includes evaluating the potential risks and benefits of new AI systems and ensuring that they are used ethically and responsibly.,complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,0|1,False,train
QA0072,"What are some activities that are expressly prohibited by the company's policies, even if they are part of a regular job duty?","The company explicitly prohibits activities that could disrupt network communication or security, such as accessing data of which the employee is not an intended recipient, logging into unauthorized accounts, and executing network monitoring that intercepts data not intended for the employee's host. Additionally, activities like introducing honeypots or interfering with other users' services are also prohibited unless prior notification is given to the Infosec team.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,5|6,False,train
QA0073,Who is responsible for planning and agreeing on audit tests and assurance activities involving assessment of operational systems?,The tester and appropriate management are responsible for planning and agreeing on audit tests and assurance activities involving assessment of operational systems.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.34,0,False,train
QA0074,What are the specific requirements for protecting personal data in the context of AI systems?,The provided policy snippet does not specify the specific requirements for protecting personal data in the context of AI systems.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,21,True,train
QA0075,Which network devices are covered by this policy?,"This policy covers all network devices, including routers, switches, firewalls, wireless access points, and other networking equipment.",simple,SANS_Network_Device_Management_Policy_April2025.docx,Scope,0,False,train
QA0076,"According to the policies, what are the consequences for developers who violate data privacy policies and fail to implement proper input validation in their applications?","Policy sanctions for non-compliance with data privacy policies include disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.  The severity of the action corresponds directly to the seriousness of the breach.",complex,SANS_Software_Development_Management_Policy_April2025.pdf|SANS_Software_Development_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0077,"What are the key security requirements for development, testing, and production environments?","The policy mandates that development, testing, and production environments be separated and secured.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_8.31,0,False,train
QA0078,Who is responsible for approving the use of AI systems?,"The AI Committee is responsible for approving the use of AI systems, except for AI Embedded Tools in approved software.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,16,False,train
QA0079,"Based on both snippets, how does the organization's cybersecurity business intelligence software platform report on cybersecurity risk to different stakeholders?","The organization's cybersecurity business intelligence software platform utilizes dashboards to report cybersecurity risk on a safeguard basis, per business unit, and in a way that takes approved exceptions into account and in a way that does not take approved exceptions into account. The platform also reports cybersecurity risk to executive leadership stakeholders and business stakeholders regularly.",complex,SANS_Risk_Communication_Management_Policy_April2025.pdf|SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0080,"What are the potential consequences for non-compliance with this policy, and what is the specific role of a SIEM in this process?","Non-compliance with this policy can result in disciplinary action, ranging from mandatory training to suspension of remote access privileges and, in severe cases, termination of employment. A SIEM (Security Information and Event Management) system is crucial in this process as it tracks the status of alerts generated by the organization's log management system, enabling the organization to monitor and respond to security threats effectively.",complex,SANS_Log_Management_Policy_April2025.pdf|SANS_Log_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False,train
QA0081,Why are background checks required?,"Background checks are necessary to ensure the security of sensitive information, comply with relevant laws and regulations, and mitigate potential risks associated with employment.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.1,0,False,train
QA0082,Which protocol is required for wireless network authentication in this policy?,The policy mandates certificate-based authentication for all wireless networks.,simple,SANS_Internal_Network_Access_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0083,Who is responsible for establishing and implementing procedures for the collection of evidence related to information security events?,The organization is responsible for establishing and implementing procedures for the collection of evidence related to information security events.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.28,0,False,train
QA0084,"According to the regulations, which actors can access and use high-quality datasets related to high-risk AI systems, and what is the purpose behind this access?","To ensure bias monitoring, detection, and correction in relation to high-risk AI systems, certain actors, such as providers, notified bodies, and other relevant entities, are able to access and use high-quality datasets within their respective fields of activities. This access is granted for the development of high-risk AI systems and is supported by initiatives like the European health data space, which promotes non-discriminatory access to health data for training AI algorithms in a privacy-preserving manner.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,21|22,False,train
QA0085,What are the potential consequences for non-compliance with this policy?,"Non-compliance with this policy may result in disciplinary action, ranging from mandatory training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws if their violations involve illegal activities.",simple,SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf,Safeguards,3,False,train
QA0086,"What security measures are required for email systems to prevent malware and phishing attacks, and how are these measures implemented?","The organization's email systems must perform malware content filtering for all emails (received by or sent by the organization) and anti-phishing content filtering for all emails (received or sent by the organization). These measures are implemented through email systems that perform anti-phishing URL filtering for all emails (received by or sent by the organization) and attachment filtering for all emails (received by or sent by the organization). Additionally, the organization must maintain a separate file transfer portal system for sending large files to individuals outside the organization.",complex,SANS_Email_Management_Policy_April2025.pdf|SANS_Email_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0087,What is the approval process for AI systems at YourCompanyName?,"AI systems, like other software or services, must undergo the same review and approval process as other software or services at YourCompanyName.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,11,False,train
QA0088,"According to the policy snippets, how does the organization ensure that data is processed in a privacy-compliant manner, and what are the specific safeguards that are in place for this process?","The organization ensures that data is processed in a privacy-compliant manner by defining a process for recording and evaluating data provenance and lineage (PRV-07), as well as limiting the identification or inference of individuals when processing data (PRV-08).  The policy also outlines processes for obtaining feedback from individuals regarding data use, allowing data corrections, and allowing data deletions (PRV-11, PRV-12, PRV-13). These safeguards are intended to protect individual privacy while enabling data processing for legitimate purposes.",complex,SANS_Privacy_Management_Policy_April2025.pdf|SANS_Privacy_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0089,What are some of the key technologies used in AI systems?,"The policy mentions several technologies used in AI systems, including representation, inductive (logic) programming, knowledge bases, inference, deductive engines, (symbolic) reasoning, and expert systems. Additionally, statistical approaches, Bayesian estimation, search, and optimization methods are also mentioned.",simple,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,20,False,train
QA0090,Who needs access to documented operating procedures?,Personnel who need access to them are those involved in information processing facilities.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.37,0,False,train
QA0091,"According to the policy, what are the two primary ways the organization can track vulnerabilities in its systems, and what is the purpose of this tracking?","The organization can track vulnerabilities in its systems through vulnerability management system agents and/or authenticated scans. This tracking is essential for monitoring the progress of remediation efforts over time, ensuring the organization stays informed about open vulnerabilities, and reporting these vulnerabilities to relevant stakeholders, including technical staff, business unit staff, and business leadership staff.",complex,SANS_Vulnerability_Management_Policy_April2025.pdf|SANS_Vulnerability_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0092,Which system is responsible for scanning each organization's custom software application for vulnerabilities?,The organization maintains a software application code vulnerability scanner to scan each custom software application for vulnerabilities.,simple,SANS_Software_Development_Vulnerability_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0093,What is the purpose of the organization's documented physical security program?,The documented physical security program is designed to help the organization achieve its overall mission and the purpose of this cybersecurity policy.,simple,SANS_Physical_Security_Management_Policy_April2025.pdf,Safeguards,0,False,train
QA0094,Where can database usernames and passwords be stored?,"Database usernames and passwords can be stored in a separate file from the program's code, on the database server, or as part of an authentication server.",simple,SANS_Database_Credentials_Standard_April2025.pdf,full,2,False,train
