question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
COMP0020,"According to the policies, which type of AI usage at YourCompanyName requires specific approval, and what are the considerations for this approval process?","The policies state that certain business departments and functions at YourCompanyName bear more considerations and potential risks, and before using any AI, whether for personal business tasks or more complex business processes, consultation with a manager is required. Additionally, the use of third-party software, services, or contractors that utilize AI technology should also be carefully evaluated, and an AI-specific clause should be included in any vendor or contractor agreements.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,5|6,False
COMP0021,"What is the process for using a new AI system at YourCompanyName, and what are the requirements for using AI systems in general?","To use a new AI system at YourCompanyName, it must be approved by the AI Committee. The AI Committee has specific requirements, including that AI should be used as a tool and not as a substitute for expertise.  Additionally, individuals using AI systems must have expertise in the subject matter for which the AI is used.  The AI Committee also requires that AI-generated content be thoroughly reviewed by an individual with expertise to evaluate such content.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,6|7,False
COMP0022,"What specific steps must YourCompanyName employees take to ensure the accuracy of AI-generated content and to prevent bias in AI-generated content, according to the company's policy?","YourCompanyName employees deploying AI systems must have expertise in the subject matter the AI is used for, and all AI-generated content must be reviewed by someone with expertise to evaluate its accuracy.  Additionally, employees must ensure that the data sets used by the AI are accurate and that any AI-generated content is reviewed for bias and corrected as necessary.  The company also requires that non-public information not be used in AI systems, and that all AI systems be documented by YourCompanyName Representatives.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,7|8,False
COMP0023,"What are the responsibilities of YourCompanyName Representatives when using AI systems, according to the provided policies?","YourCompanyName Representatives are responsible for reviewing AI-produced content for bias and correcting it as necessary. They must also document all AI systems they are utilizing and for what functions, including documenting the use of AI in code sections. This documentation includes the specific AI-derived code sections and who reviewed them, ensuring compliance with contractual limitations and ethical considerations.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,8|9,False
COMP0024,"According to both snippets, what is the most important aspect to consider when using an AI system at YourCompanyName to ensure ethical and legal compliance?","To ensure ethical and legal compliance when using AI systems, YourCompanyName Representatives must have all terms or use or contracts reviewed by the Legal Department, ensuring compliance with contractual obligations and any restrictions on use. Additionally, all AI systems must be reviewed and approved by the appropriate internal bodies, such as security and privacy reviewers, to meet the same standards as other software and services within the company.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,9|10,False
COMP0025,"What specific approvals are required for an AI system at YourCompanyName, and what are the potential consequences of failing to comply with these requirements?","To ensure compliance with contractual obligations and internal policies, all AI systems must undergo a comprehensive review process including a security review, privacy review, cost review, and spend approval, as well as legal review and human resources review. Failure to comply with these requirements can result in the use of the AI system being prohibited, as outlined in the prohibited uses section of the policy, which includes activities like political lobbying, using AI to categorize individuals based on protected class status, entering sensitive information into AI systems, and more.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,10|11,False
COMP0026,"According to the company's policies, what is a prohibited use of an AI system that involves sensitive information?","The company prohibits using AI systems to enter sensitive information about an individual into any AI system, including but not limited to medical, financial, political affiliation, racial or ethnic origin, religious beliefs, gender, sexual orientation, disability status, or any other part of a person's life someone would want to keep private. This prohibition applies to both open and closed AI systems.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,11|12,False
COMP0027,"According to YourCompanyName's policies, what is required when using an AI system to assist with a task that involves personal information?","To use an AI system to assist with a task that involves personal information, you must obtain informed consent from the individual whose personal information will be inputted into the AI system. This ensures that individuals are aware of how their information will be used.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,12|13,False
COMP0028,"According to the policy, what are the specific circumstances under which an employee should seek approval before using an AI system for work?","Employees should seek approval from their manager and HR representative before using an AI system to assist in tasks like writing a performance evaluation. This aligns with the guidelines outlined in snippet A about obtaining informed consent and appropriate content usage, as well as the high-risk use of AI systems identified in snippet B, particularly regarding the EU's classification of certain AI applications as posing a risk to health and safety or fundamental rights.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,13|14,False
COMP0029,"According to the policy documents, what specific precautions should be taken when using AI systems for personnel decisions, such as promotions, retention, and similar decisions?","The policy documents emphasize the need for extreme caution when using AI systems for personnel decisions like promotions, retention, or similar decisions.  This includes avoiding biases, both in the data sets used and in the systems themselves, to ensure fair and equitable outcomes.  The documents also highlight the potential for legal issues arising from biased AI use in these areas, such as discrimination against protected classes.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,14|15,False
COMP0030,"Based on the provided policy snippets, what are the key considerations for using AI systems in personnel decisions, especially when evaluating candidates for admission into a university program?","The policy snippets highlight that using AI in personnel decisions, particularly when evaluating potential candidates for admission into a university program, is considered high risk. This is due to the potential for AI systems to introduce bias, especially when using data sets that may contain existing biases.  Therefore, extreme caution is required when using AI for enrollment decisions, ensuring that such systems comply with all applicable laws and regulations, and avoid introducing bias in the evaluation process.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,15|16,False
COMP0031,"According to the policy documents, what are the two main ethical principles that must be adhered to when using AI systems for any purpose within YourCompanyName?","The two main ethical principles that must be adhered to when using AI systems are lawful and ethical. The use of AI systems must comply with all applicable laws and regulations, as well as any contractual obligations, limitations, or restrictions, and must adhere to ethical principles, be fair, and avoid bias.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,16|17,False
COMP0032,"According to the policy, what is the first step a requester should take before submitting a request for using an AI system? What is the purpose of this step?","The first step a requester should take before submitting a request for using an AI system is to obtain the approval of their manager. This approval is required to ensure that the AI system use, if approved, would conform with the guidelines in this Policy, prior to submitting such request.  This step ensures that the request aligns with the company's policies and guidelines regarding the use of AI systems.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,17|18,False
COMP0033,"According to the policy documents, what is the process for reporting suspected AI system non-compliance?","If an employee suspects a violation of the AI Policy, they are encouraged to report it through their manager. The reports of suspected misconduct or non-compliance will be investigated by the AI Committee, Legal Counsel, Human Resources, or other appropriate parties. Unless acting in bad faith, employees will not be subject to reprisals for reporting potential violations.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,18|19,False
COMP0034,"According to the policy, what are the key considerations for ensuring high-quality training data for AI systems, especially when using techniques involving model training?","The policy emphasizes the importance of high data quality for AI system performance, especially when using model training techniques. It highlights the need for relevant, representative, and free data sets to ensure the high-risk AI system performs as intended and safely, and avoids the creation of discrimination prohibited by Union law. This implies that data governance and management practices are crucial for ensuring data quality during training, validation, and testing.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,19|20,False
COMP0035,"According to the EU regulations, what specific data quality attributes are essential for high-risk AI systems, and why are they important?","The EU regulations emphasize the importance of high-quality training, validation, and testing data sets for high-risk AI systems. These data sets must be relevant, representative, free of errors, complete, and possess appropriate statistical properties, considering the specific geographical, behavioral, or functional context of the AI system's intended use. This ensures that the AI system performs as intended and safely, avoiding discrimination prohibited by Union law.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,20|21,False
COMP0036,"According to the regulations, which actors can access and use high-quality datasets related to high-risk AI systems, and what is the purpose behind this access?","To ensure bias monitoring, detection, and correction in relation to high-risk AI systems, certain actors, such as providers, notified bodies, and other relevant entities, are able to access and use high-quality datasets within their respective fields of activities. This access is granted for the development of high-risk AI systems and is supported by initiatives like the European health data space, which promotes non-discriminatory access to health data for training AI algorithms in a privacy-preserving manner.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,21|22,False
COMP0037,"According to the regulation, how can high-risk AI systems be evaluated for compliance with the requirements? What role does the European health data space play in this process?","High-risk AI systems need to be evaluated for compliance by keeping detailed records and technical documentation. This documentation must include information about the system's capabilities, limitations, data, training, testing, and validation processes, as well as the risk management system. The European health data space, through its facilitation of non-discriminatory access to health data, can play a crucial role in providing high-quality data for training and testing these systems. This data will help ensure the development and deployment of compliant AI systems.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,22|23,False
COMP0038,"According to the regulations, what specific information must be included in the technical documentation for high-risk AI systems to ensure transparency and user understanding?","High-risk AI systems must be accompanied by relevant documentation and instructions of use that include concise and clear information, including in relation to risks to fundamental rights and discrimination, where appropriate. This documentation should also address the system's output interpretation and ensure that natural persons can oversee its functioning.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,23|24,False
COMP0039,"According to the policy documents, what is necessary to ensure that high-risk AI systems are both reliable and transparent?","High-risk AI systems must be accompanied by relevant documentation and instructions of use, including clear information about risks to fundamental rights and discrimination.  They should be designed and developed in a way that allows for human oversight, with appropriate human oversight measures to guarantee operational constraints that cannot be overridden by the system and ensure the system is responsive to the human operator, and that the human operator has the necessary competence, training, and authority to carry out their role.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,24|25,False
COMP0040,"According to the provided policy snippets, what is the primary cybersecurity concern for high-risk AI systems, and how can providers ensure its mitigation?","The primary cybersecurity concern for high-risk AI systems is malicious third-party attacks that can exploit vulnerabilities in the system's digital assets or underlying ICT infrastructure to compromise its security properties. Providers of these systems should ensure a level of cybersecurity appropriate to the risks by implementing suitable measures, considering the underlying ICT infrastructure.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,25|26,False
COMP0041,"According to the EU Artificial Intelligence Act, which high-risk AI system type is specifically required to have specific requirements on logging capabilities and human oversight, as well as a focus on robust cybersecurity measures?","The EU Artificial Intelligence Act specifically requires 'Real-time' and 'post' remote biometric identification systems to have specific requirements on logging capabilities and human oversight, as well as a focus on robust cybersecurity measures.  These systems are also subject to specific requirements on human oversight and logging capabilities due to their potential for misuse, bias, and potential for compromising fundamental rights.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,26|27,False
COMP0042,"According to the policy, how does the organization ensure the accuracy of its asset tracking system and how is it updated?","The organization ensures the accuracy of its asset tracking system by using both an automated asset discovery platform and a defined approval process for each information asset. The automated platform discovers information assets actively or passively, while the approval process ensures that each information asset is accurately recorded in the system. The system is then updated regularly.",complex,SANS_Asset_Management_Policy_April2025.pdf|SANS_Asset_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0043,"According to the policies, what two security measures are required to be implemented to address potential data loss within the organization's authorized Cloud Service Providers (CSPs) or Software-as-a-Service (SaaS) providers?",The policies require the implementation of a Data Loss Prevention (DLP) system to log and alert on potential data loss events and a cloud configuration vulnerability management system to regularly scan for cybersecurity vulnerabilities. These measures work together to ensure the organization's data is protected.,complex,SANS_Cloud_Service_Provider_Management_Policy_April2025.pdf|SANS_Cloud_Service_Provider_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0044,"What are the potential consequences for an employee who violates the organization's policies regarding data security in the cloud environment, and what actions are taken to address non-compliance?","Non-compliance with the organization's policies regarding data security in the cloud environment could result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. These sanctions are designed to emphasize the critical importance of cybersecurity and the individual's role in protecting the organization's digital assets, and are enforced consistently and impartially with the severity of the action corresponding directly to the seriousness of the breach.",complex,SANS_Cloud_Service_Provider_Management_Policy_April2025.pdf|SANS_Cloud_Service_Provider_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0045,"Based on the provided policy snippets, what specific security measures must the organization implement to ensure secure operating system configurations?","The organization must define a configuration benchmark that includes disabling unnecessary services, such as scripting languages, and enabling advanced logging.  The benchmark also requires the organization to enforce cybersecurity services like DEP, ASLR, and UAC, and to disable unnecessary wireless protocols and networks on endpoints.  This ensures a secure operating system environment by limiting the attack surface and enhancing system integrity.",complex,SANS_Configuration_Management_Policy_April2025.pdf|SANS_Configuration_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0046,"What are some potential consequences for non-compliance with the organization's cybersecurity policy, as outlined in the policy documents?","Non-compliance with the organization's cybersecurity policy can result in disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Configuration_Management_Policy_April2025.pdf|SANS_Configuration_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0047,What are the two key data management aspects that the organization's data inventory management system must track according to the policy?,"The organization's data inventory management system must track both the business purpose of all data managed by the organization and the classification, criticality, and sensitivity of all data managed by the organization. This information is crucial for maintaining compliance and protecting sensitive data.",complex,SANS_Data_Inventory_Management_Policy_April2025.pdf|SANS_Data_Inventory_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0048,"What are the specific data management requirements for data stored with a third-party, as outlined in the organization's data inventory management system?","The organization's data inventory management system must automatically discover data managed by the organization (whether onsite or at a third party), automatically classify and label it, and automatically discover when its private data is located in publicly available locations. Additionally, the system must be integrated with the organization's asset inventory system and log and alert events related to the data managed by the organization (such as access, changes, and deletions).",complex,SANS_Data_Inventory_Management_Policy_April2025.pdf|SANS_Data_Inventory_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0049,"According to the provided policies, where should database credentials be stored to ensure they are secure and not accessible to unauthorized users?","Database usernames and passwords should be stored in a file separate from the executing body of the program's code. This file must not be world readable or writeable, as outlined in the policies.",complex,SANS_Database_Credentials_Standard_April2025.pdf|SANS_Database_Credentials_Standard_April2025.pdf,full|full,0|1,False
COMP0050,"Where can database usernames and passwords be stored, according to the company's security policies?","According to the company's security policies, database usernames and passwords can be stored in a file separate from the executing body of the program's code, or on the database server. In the case of storing them on the database server, a hash function number identifying the credentials may be stored in the executing body of the program's code.",complex,SANS_Database_Credentials_Standard_April2025.pdf|SANS_Database_Credentials_Standard_April2025.pdf,full|full,1|2,False
COMP0051,"What is the recommended approach for storing database credentials in a program that executes from source code, according to the provided policies?","To store database credentials securely for programs executing from source code, the credentials should be stored in a separate source file, not within the same directory tree as the program's code. This file should only contain the user name and password and any functions or methods needed to access them.  The file should be physically separated from other code, ensuring no other code is present in the file except for the credentials.",complex,SANS_Database_Credentials_Standard_April2025.pdf|SANS_Database_Credentials_Standard_April2025.pdf,full|full,2|3,False
COMP0052,"According to the policy, how are database passwords handled to ensure they are not shared between programs?","Database passwords are system-level passwords as defined by the Password Policy. Developer groups must have a process in place to ensure that these passwords are controlled and changed in accordance with the Password Policy, including restricting knowledge of the passwords to a need-to-know basis.",complex,SANS_Database_Credentials_Standard_April2025.pdf|SANS_Database_Credentials_Standard_April2025.pdf,full|full,3|4,False
COMP0053,"What are the potential consequences for an employee violating the organization's cybersecurity policy, and how are those consequences determined?","Violations of the cybersecurity policy can result in disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. The severity of the action is determined by the seriousness of the breach, emphasizing the importance of cybersecurity and the individual's role in protecting digital assets.  The organization's human resources procedures are followed to ensure consistent and impartial enforcement of the policy.",complex,SANS_Database_Credentials_Standard_April2025.pdf|SANS_Database_Credentials_Standard_April2025.pdf,full|full,4|5,False
COMP0054,"What are two specific cybersecurity safeguards that the organization should educate its workforce members on, according to the policy?","The organization should educate its workforce members on securely communicating over untrusted networks and securely handling data, as both are specifically mentioned in the policy as areas of focus for cybersecurity education.",complex,SANS_Education_Management_Policy_April2025.pdf|SANS_Education_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0055,How does the organization ensure the effectiveness of its cybersecurity education program and what are the potential consequences of non-compliance?,"The organization's cybersecurity education program is regularly validated using quantifiable measures and reported to business stakeholders. Non-compliance with this policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges, and potentially termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Education_Management_Policy_April2025.pdf|SANS_Education_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0056,What are the key security measures outlined in the policy to protect the organization's email systems from malware and phishing attacks?,"The policy outlines several security measures to protect email systems from malware and phishing attacks. These include ensuring that email systems perform malware and anti-phishing content filtering for all emails, as well as utilizing attachment filtering with sandboxes to validate attachments. Additionally, the policy mandates that email systems utilize encrypted connections (TLS) between all email servers and that they block emails from domains not utilizing appropriate DNS records (including SPF, DKIM, and DMARC).",complex,SANS_Email_Management_Policy_April2025.pdf|SANS_Email_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0057,"According to the policy, what are the potential consequences of non-compliance with the email security policies?","Non-compliance with the email security policies may result in disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws if their violations involve illegal activities.",complex,SANS_Email_Management_Policy_April2025.pdf|SANS_Email_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0058,What is the organization's policy regarding workforce member authentication credentials and how is it managed to ensure security?,"The organization's Human Resources (HR) program includes a process for workforce members to return authentication credentials after their work with the organization.  To enhance security, the organization maintains an inventory of each Identity Provider (IDP) it approves and minimizes the number of IDPs it uses. This is achieved through centralized Single Sign On (SSO) solutions whenever possible, and the organization also defines a process to regularly review its IDPs to ensure only authorized access is granted.",complex,SANS_Identity_Management_Policy_April2025.pdf|SANS_Identity_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0059,"According to the policy documents, what security measure should be taken to prevent the reuse of account names within a defined period of time?",The policy documents state that configuration benchmarks for each organization's Identity Providers (IDPs) should not allow account names to be reused within a defined period of time. This measure aims to prevent unauthorized users from leveraging reused account names.,complex,SANS_Identity_Management_Policy_April2025.pdf|SANS_Identity_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0060,"According to the policy snippets, what specific actions should be taken to ensure the security of account passwords in an Identity Provider (IDP)?","The policy snippets require that the configuration benchmarks for each organization's Identity Providers (IDPs) require passwords be stored encrypted and hashed using salts, that passwords be transmitted only when encrypted, and that unused accounts be automatically disabled after a period of not being used. Additionally, the policy snippets require logging of logon events for standard accounts and access to deactivated accounts.",complex,SANS_Identity_Management_Policy_April2025.pdf|SANS_Identity_Management_Policy_April2025.pdf,Safeguards|Safeguards,2|3,False
