question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
NEG0022,What specific types of cybersecurity penetration testing are required to be included in the organization's cybersecurity safeguard validation (audit) plan?,The policy snippet does not specify the specific types of cybersecurity penetration testing required to be included in the organization's cybersecurity safeguard validation (audit) plan.,negative,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0023,What specific cybersecurity measures are required by this policy?,This policy snippet does not specify the exact cybersecurity measures required by the policy.,negative,SANS_Asset_Management_Policy_April2025.pdf,Policy Sanctions,0,True
NEG0024,What are the specific data handling requirements for employees accessing sensitive information?,The provided policy snippet does not specify data handling requirements for employees accessing sensitive information.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,3,True
NEG0025,What are the specific guidelines for using AI systems in research and development?,This policy snippet does not specify guidelines for using AI systems in research and development.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,13,True
NEG0026,What specific legal consequences could an employee face for violating this policy?,This policy snippet does not specify the specific legal consequences that an employee could face for violating this policy.,negative,SANS_Software_Development_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0027,What are the specific procedures for handling a cybersecurity incident?,This policy snippet does not specify procedures for handling a cybersecurity incident.,negative,SANS_Program_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0028,How often should the Artificial Intelligence Committee meet?,The provided policy snippet does not specify the frequency of meetings for the Artificial Intelligence Committee.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,0,True
NEG0029,What are the specific requirements for using AI tools in third-party software or services?,"The policy text does not specify the requirements for using AI tools in third-party software or services, but it does state that any AI usage by software used by these parties or services must be noted and evaluated carefully.",negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,6,True
NEG0030,What specific types of cybersecurity breaches will be subject to the disciplinary action outlined in the policy?,The policy does not specify the specific types of cybersecurity breaches that would trigger disciplinary action.,negative,SANS_Data_Inventory_Management_Policy_April2025.pdf,Policy Sanctions,0,True
NEG0031,Who is responsible for ensuring that all employees receive regular information security training?,This policy snippet does not specify who is responsible for ensuring that all employees receive regular information security training.,negative,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.3,0,True
NEG0032,What specific procedures must be followed for incident response?,This policy snippet does not specify any procedures for incident response.,negative,SANS_Program_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0033,What specific security controls are mandated for data stored in the cloud?,The provided policy snippet does not specify security controls for data stored in the cloud.,negative,SANS_Data_Inventory_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0034,What are the specific procedures for conducting a red team cybersecurity assessment?,The policy snippet does not specify the procedures for conducting a red team cybersecurity assessment.,negative,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0035,What are the specific requirements for employee training on cybersecurity best practices?,This policy snippet does not specify the requirements for employee training on cybersecurity best practices.,negative,SANS_Software_Development_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0036,What are the specific guidelines for data governance and management practices for high-risk AI systems?,The provided policy snippet does not specify the guidelines for data governance and management practices for high-risk AI systems.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,20,True
NEG0037,What specific cybersecurity safeguards are required to be implemented by the organization?,This policy snippet does not specify the specific cybersecurity safeguards that must be implemented by the organization.,negative,SANS_Safeguard_Selection_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0038,What are the specific legal consequences for using AI systems in personnel decisions?,This policy snippet does not specify the legal consequences for using AI systems in personnel decisions.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,15,True
NEG0039,What are the specific guidelines for employees using social media platforms for business purposes?,"This policy snippet does not specify guidelines for employees using social media platforms for business purposes, only that such use is subject to the terms and restrictions set forth in this policy.",negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,7,True
NEG0040,What specific actions can be taken if an employee violates this policy?,The policy does not specify the specific actions that can be taken if an employee violates this policy.,negative,SANS_Privileged_Account_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0041,What are the consequences of violating this policy?,"The policy does not specify the exact consequences of violating this policy, but it mentions that disciplinary action may range from mandatory refresher training and written warnings to temporary suspension.",negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,9,True
NEG0042,What specific types of AI tools are permitted for use at YourCompanyName?,The provided policy snippet does not specify the types of AI tools permitted for use at YourCompanyName.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,7,True
NEG0043,How often must the organization update its operating systems?,This policy snippet does not specify the frequency of operating system updates.,negative,SANS_Configuration_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0044,What is the required method for handling sensitive data in a cloud environment?,The provided policy snippet does not specify the required method for handling sensitive data in a cloud environment.,negative,SANS_Data_Inventory_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0045,What specific legal and contractual obligations must be considered when using AI systems for student assessments?,This policy snippet does not specify the specific legal and contractual obligations that must be considered when using AI systems for student assessments.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,16,True
NEG0046,What specific cybersecurity safeguards are outlined in this policy?,This policy snippet does not specify the exact cybersecurity safeguards that must be implemented.,negative,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0047,What are the specific security measures to protect against unauthorized access to the database?,This policy snippet does not specify the specific security measures to protect against unauthorized access to the database.,negative,SANS_Database_Credentials_Standard_April2025.pdf,full,0,True
NEG0048,What are the specific requirements for the use of AI systems in healthcare?,This policy snippet does not specify the requirements for the use of AI systems in healthcare.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,27,True
NEG0049,What specific legal or regulatory framework must the AI system adhere to before being deployed?,The policy text does not specify the specific legal or regulatory framework that the AI system must adhere to.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,17,True
NEG0050,What are the specific requirements for the review and approval process for AI systems?,The policy snippet does not specify the exact requirements for the review and approval process for AI systems.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,11,True
NEG0051,What are the specific security protocols that the organization should use to protect its software inventory system?,The provided policy snippet does not specify the security protocols that should be used to protect the software inventory system.,negative,SANS_Software_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0052,What specific measures are outlined for enforcing the approved configuration benchmarks?,This policy snippet does not specify the specific measures for enforcing the approved configuration benchmarks.,negative,SANS_Configuration_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0053,How often can employees use company systems for blogging?,The policy does not specify the frequency or extent of acceptable blogging activities.,negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,8,True
NEG0054,What is the frequency of reporting on cybersecurity risk to non-executive stakeholders?,The policy snippet does not specify the frequency of reporting cybersecurity risk to non-executive stakeholders.,negative,SANS_Risk_Communication_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0055,What are the specific requirements for data retention periods?,This policy snippet does not specify requirements for data retention periods.,negative,SANS_Privacy_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0056,What specific cybersecurity training is required for employees who violate this policy?,This policy does not specify the exact cybersecurity training required for employees who violate it.,negative,SANS_System_Protection_Management_Policy_April2025.pdf,Policy Sanctions,0,True
NEG0057,What are the specific requirements for employee training on information security?,This policy snippet does not specify the requirements for employee training on information security.,negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,1,True
NEG0058,What specific cybersecurity safeguards are required to be implemented to achieve a high cybersecurity rating?,The policy snippet does not specify the specific cybersecurity safeguards required for a high cybersecurity rating.,negative,SANS_Third_Party_Management_Policy_April2025.pdf,Safeguards,3,True
NEG0059,What are the specific consequences for employees who violate the AI Policy?,The policy text does not specify the consequences for employees who violate the AI Policy.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,19,True
NEG0060,What specific actions are taken when a data breach is detected?,This policy snippet does not specify the actions taken when a data breach is detected.,negative,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,3,True
