qa_id,input_text,target_text,source_standard,source_doc,control_id,question_type,difficulty
QA_0011,"Soru: Kurumsal bir “Kabul Edilebilir Şifreleme Standardı”nın amacı nedir? Bu tür bir standartta algoritma seçimi ve anahtar yönetimi ile ilgili hangi temel ilkeler yer almalıdır?
Cevap:","Kabul Edilebilir Şifreleme Standardı, kuruluş genelinde hangi kriptografik algoritmaların, anahtar uzunluklarının ve protokollerin kullanılacağını belirleyerek tutarlı ve güvenli bir şifreleme altyapısı oluşturmayı amaçlar. Bu tür bir standartta; güncel ve güvenilir kriptografik algoritmaların kullanılması, zayıf veya kırılmış algoritmaların yasaklanması, anahtar uzunluklarının minimum gereksinimleri, anahtar üretimi, saklanması, dağıtımı ve imhası için süreçler, sertifika yönetimi ve şifreleme çözümlerinin yaşam döngüsü boyunca gözden geçirilmesi gibi ilkeler yer almalıdır. Ayrıca standart, mevzuat ve sektör regülasyonlarıyla uyumlu olmalı ve teknik ekipler için referans doküman görevi görmelidir.",SANS,SANS_Acceptable_Encryption_Standard_2025,full,tanım,orta
QA_0012,"Soru: Bir çalışan, şirkete ait dizüstü bilgisayarı evde aile bireyleriyle ortak kullanıyor ve çocuklarının oyun indirmesine izin veriyor. Bu durum SANS “Acceptable Use” (Kabul Edilebilir Kullanım) bakış açısıyla hangi riskleri doğurur ve politika düzeyinde nasıl ele alınmalıdır?
Cevap:","Şirkete ait cihazın aile bireyleriyle paylaşılması, kurumsal varlıkların yalnızca kuruluşun mülkiyetinde ve kontrolünde olması ilkesini zedeler. Oyun ve benzeri yazılımların kontrolsüz kurulması, zararlı yazılım bulaşma, lisans ihlali, uygunsuz içerik erişimi ve kurum ağlarına yetkisiz erişim gibi riskler doğurur. SANS Acceptable Use bakış açısına göre, şirket cihazları kişisel cihaz gibi kullanılmamalı, yetkisiz kişilerin fiziksel veya mantıksal erişimine kapalı tutulmalıdır. Politika düzeyinde; cihazların sadece yetkili çalışanlar tarafından ve iş amaçlı kullanılacağı açıkça belirtilmeli, bu tür ihlaller için yaptırımlar tanımlanmalı ve çalışanlara farkındalık eğitimi verilmelidir.",SANS,SANS_Acceptable_Use_Standard_2025,Safeguards,senaryo,orta
QA_0013,"Soru: Şifreleme anahtarlarının üçüncü taraflarla paylaşılması gereken durumlarda, SANS tarzı bir “şifreleme standardı”na göre anahtarın gerçekten doğru muhataba gittiğinden emin olmak için hangi teknik veya idari yöntemler kullanılabilir?
Cevap:","Şifreleme anahtarlarının üçüncü taraflarla paylaşılmasında, anahtarın doğru muhataba ulaştığından emin olmak için kimlik doğrulama ve kanal güvenliği ön plandadır. Bu kapsamda; karşı tarafın sertifikasını güvenilir bir sertifika otoritesi üzerinden doğrulamak, anahtar değişimi sırasında TLS gibi güvenli iletişim protokolleri kullanmak, anahtar parmak izini (hash) ayrı bir kanaldan (örneğin telefonla veya imzalı e-posta ile) teyit etmek ve çok faktörlü kimlik doğrulama mekanizmaları uygulamak mümkündür. Ayrıca anahtar paylaşım süreçleri dokümante edilmeli, yetkilendirme kayıtları tutulmalı ve paylaşım sonrasında erişim logları düzenli olarak denetlenmelidir.",SANS,SANS_Acceptable_Encryption_Standard_2025,full,prosedür,zor
QA_0014,"Soru: ISO 27001 A.5.3’e göre bilgi güvenliği rollerinin ve sorumluluklarının tanımlanmasının amacı nedir? Roller belirlenirken hangi temel kriterler dikkate alınmalıdır?
Cevap:","ISO 27001 A.5.3’e göre bilgi güvenliği rollerinin tanımlanmasının amacı, kuruluş içindeki tüm bilgi güvenliği süreçlerinin kime ait olduğunu açıkça belirlemek ve görev çatışmalarını engellemektir. Rol tanımları yapılırken yetki seviyeleri, görev ayrılığı gereklilikleri, risk düzeyi yüksek işlemler, onay mekanizmaları, operasyonel ihtiyaçlar ve üçüncü taraflarla etkileşim noktaları dikkate alınmalıdır. Böylece tüm kontrollerin uygulanmasından kimin sorumlu olduğu netleşir ve izlenebilirlik sağlanır.",ISO27001,ISO_27001_AnnexA,ISO_5.3,tanım,kolay
QA_0015,"Soru: ISO 27001 A.5.4 kapsamında risk değerlendirme sürecinin temel aşamaları nelerdir? Bu süreç neden periyodik olarak güncellenmelidir?
Cevap:","Risk değerlendirme süreci; varlıkların tanımlanması, tehdit ve zafiyetlerin belirlenmesi, mevcut kontrollerin incelenmesi, risk seviyelerinin hesaplanması ve uygun risk işleme seçeneklerinin seçilmesi aşamalarından oluşur. Bu sürecin periyodik olarak güncellenmesi gerekir çünkü iş süreçleri, teknolojik altyapılar, tehdit ortamı ve mevzuat zamanla değişir. Güncellenmeyen risk değerlendirmesi, gerçek riskleri temsil etmez ve yanlış kontrol seçimlerine yol açabilir.",ISO27001,ISO_27001_AnnexA,ISO_5.4,süreç,orta
QA_0016,"Soru: Yeni bir çalışan oryantasyon eğitimine katılmadan sistem erişimi alıyorsa ve sık sık parola paylaşımı yapıyorsa, bu durum ISO 27001 A.6.3 açısından hangi eksiklikleri gösterir?
Cevap:","Bu durum bilgi güvenliği farkındalık sürecinin uygulanmadığını gösterir. ISO 27001 A.6.3, çalışanların bilgi güvenliği politika ve prosedürlerini işe başlamadan önce anlamalarını ve riskleri bilmelerini şart koşar. Parola paylaşımı, eğitim eksikliğinin tipik bir göstergesidir ve erişim kontrolü, olay yönetimi ve veri koruma süreçlerini zayıflatır. Çözüm olarak oryantasyon eğitimi zorunlu hale getirilmeli, periyodik farkındalık eğitimleri düzenlenmeli ve politika ihlalleri kayıt altına alınmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_6.3,senaryo,orta
QA_0017,"Soru: ISO 27001 A.6.8’e göre çalışan şirketten ayrıldığında hangi erişim yönetimi adımları uygulanmalıdır? En az üç işlem belirtiniz.
Cevap:","Ayrılan çalışan için tüm sistem erişimlerinin derhal kapatılması gerekir. Buna kurumsal e-posta, VPN, bulut servisleri, ERP sistemleri ve fiziksel erişim kartları dahildir. Ayrıca kurumsal cihazların iadesi alınmalı, cihazlar veri kalıntısı açısından kontrol edilip gerekirse sıfırlanmalıdır. Son olarak sözleşmesel gizlilik yükümlülükleri hatırlatılmalı ve offboarding kontrol listesi tamamlanarak süreç kayıt altına alınmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_6.8,prosedür,orta
QA_0018,"Soru: Varlık envanteri oluşturmanın amacı nedir? Envanterde hangi tür varlıklar listelenmelidir?
Cevap:","Varlık envanterinin amacı, korunması gereken tüm bilgi varlıklarını görünür kılmak ve bu varlıklar için uygun kontrollerin atanmasını sağlamaktır. Envanterde fiziksel cihazlar, yazılımlar, veri tabanları, iş süreçleri, üçüncü taraf hizmetleri, kullanıcı hesapları ve kritik iş bilgileri listelenmelidir. Her varlık için sahiplik, kritiklik, konum ve koruma gereksinimleri belirtilmelidir.",ISO27001,ISO_27001_AnnexA,ISO_7.5,tanım,kolay
QA_0019,"Soru: Bir çalışanın masasında gün sonunda müşteri sözleşmeleri ve USB bellek bırakması, ISO 27001 A.7.7 açısından hangi güvenlik ihlallerine işaret eder?
Cevap:","Bu durum temiz masa ve temiz ekran gerekliliklerinin ihlalidir. Hassas belgelerin masada bırakılması yetkisiz erişim riskini artırır, USB belleklerin açıkta bırakılması ise kötü amaçlı yazılım bulaşması ve veri sızıntısı ihtimalini yükseltir. ISO 27001 A.7.7’ye göre fiziksel ortamların güvenliği sağlanmalı, çalışanlar hassas bilgileri her zaman kilitli çekmecelerde veya güvenli dolaplarda saklamalıdır.",ISO27001,ISO_27001_AnnexA,ISO_7.7,senaryo,kolay
QA_0020,"Soru: Konfigürasyon yönetimi kontrolü neyi amaçlar? Kuruluşlar neden tüm sistem bileşenleri için standart yapılandırmalar tanımlamak zorundadır?
Cevap:","Konfigürasyon yönetimi, bilgi sistemlerinin güvenli, tutarlı ve kontrol edilebilir yapılandırmalara sahip olmasını amaçlar. Standart yapılandırmalar tanımlanmadığında her sistem bileşeni farklı güvenlik seviyesine sahip olabilir ve bu durum zafiyetleri artırır. Güvenli yapılandırmalar; gereksiz servislerin kapatılması, varsayılan şifrelerin değiştirilmesi, güvenlik yamalarının uygulanması ve loglama ayarlarının standartlaştırılması gibi maddeleri içerir.",ISO27001,ISO_27001_AnnexA,ISO_8.9,süreç,orta
QA_0021,"Soru: Log kayıtlarının saklanması neden gereklidir? ISO 27001 A.8.15’e göre log içerikleri hangi amaçlarla kullanılabilir?
Cevap:","Log kayıtları, güvenlik olaylarının tespit edilmesi, adli analiz yapılabilmesi, hizmet kesintilerinin nedeninin anlaşılması ve düzenleyici kurumlara karşı ispat yükümlülüğünün yerine getirilmesi için gereklidir. ISO 27001 A.8.15’e göre loglar; yetkisiz erişim denemelerini izlemek, sistem performansını değerlendirmek, olay müdahalesini desteklemek ve politika uyumluluğunu denetlemek amacıyla kullanılabilir.",ISO27001,ISO_27001_AnnexA,ISO_8.15,tanım,kolay
QA_0022,"Soru: Bir çalışan şirket içinde pozisyon değiştiriyor ancak eski rolündeki erişim hakları iptal edilmeden yeni rolün hakları ekleniyor. ISO 27001 A.9.2 açısından bu durum hangi sorunlara yol açar?
Cevap:","Bu durum yetki birikimi (privilege accumulation) olarak bilinen önemli bir risktir. Çalışan aynı anda hem eski hem yeni rolüne ait haklara sahip olduğunda yetkisiz erişim, veri bütünlüğü riski ve hesap verebilirlik zayıflığı ortaya çıkar. ISO 27001 A.9.2’ye göre erişim hakları rol değişikliklerinde yeniden değerlendirilmelidir ve eski haklar derhal kaldırılmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_9.2,senaryo,orta
QA_0023,"Soru: Bir uzak erişim politikasının temel amacı nedir? Kuruluş neden tüm uzak bağlantılar için güvenli kanallar tanımlamalıdır?
Cevap:","Uzak erişim politikasının amacı, çalışanların şirket ağına kuruluş dışından erişirken bilginin gizliliğini ve bütünlüğünü korumaktır. Güvenli kanallar tanımlanmaması, iletişimin dinlenmesi, oturum çalınması ve kimlik doğrulama ihlallerine yol açabilir. Bu nedenle VPN, MFA ve güvenli tünelleme protokolleri uzak erişimin temel gereklilikleridir.",SANS,SANS_Remote_Access_Policy_2025,Safeguards,tanım,kolay
QA_0024,"Soru: Bir çalışan kurumsal e-postasını kişisel alışveriş sitelerine üye olmak için kullanıyorsa, bu davranış SANS “Acceptable Use” politikası açısından hangi riskleri doğurur?
Cevap:","Bu davranış, phishing saldırılarına maruz kalma riskini artırır, kurumsal e-posta adresinin üçüncü taraf pazarlama listelerine düşmesine neden olur ve veri bütünlüğünü zedeler. Ayrıca kişisel hesaplara ilişkin e-postalar, kurumsal kayıt yönetimini karıştırabilir ve yasal saklama yükümlülüklerini karmaşıklaştırır. SANS Acceptable Use politikasına göre kurumsal e-posta yalnızca iş amaçları için kullanılmalıdır.",SANS,SANS_Acceptable_Use_Standard_2025,Safeguards,senaryo,orta
QA_0025,"Soru: Veritabanı kullanıcı adları ve parolalarının uygulama kaynak kodu içinde tutulması neden sakıncalıdır? SANS Database Credential Standard’a göre bu bilgilerin nasıl saklanması önerilir?
Cevap:","Kimlik bilgilerinin kaynak kod içinde tutulması, kodun sızması halinde tüm veritabanının tehlikeye girmesi anlamına gelir. Ayrıca sürüm kontrol sistemlerinde geçmiş kayıtlarda kalır ve geri dönüşü olmayan riskler oluşturur. SANS standartlarına göre kimlik bilgileri güvenli bir yapılandırma deposunda, şifreli bir kasada veya ayrı bir konfigürasyon dosyasında tutulmalı; erişimler yalnızca yetkili servis hesaplarına verilmelidir. Parolalar düzenli aralıklarla döndürülmeli ve kullanım logları izlenmelidir.",SANS,SANS_Database_Credentials_Policy_2025,full,prosedür,zor
QA_0026,"Soru: Kritik bir sistemde loglama seviyesi “minimum” ayarda bırakılmışsa, bu durum olay müdahalesi açısından hangi zorluklara yol açar?
Cevap:","Yetersiz loglama, olayın ne zaman gerçekleştiğini, hangi kullanıcı veya süreç tarafından tetiklendiğini ve sistemde ne tür değişikliklere yol açtığını belirlemeyi zorlaştırır. Bu nedenle adli analiz yapılamaz, kök neden bulunamaz ve sistem sağlamlığına ilişkin güven azalır. SANS log yönetim politikaları, kritik sistemlerde detaylı ve bütünlük kontrolü yapılan logların tutulmasını şart koşar.",SANS,SANS_Log_Management_Policy_2025,full,senaryo,orta
QA_A52_001,"Soru: ISO 27001 A.5.2'ye göre bilgi güvenliği rollerinin tanımlanmasının amacı nedir?","Bilgi güvenliği rollerinin tanımlanması, ISMS kapsamında görevlerin, yetkilerin ve sorumlulukların açıkça belirlenmesini sağlar. Roller tanımlanmadığında görev çatışmaları, yetki fazlalıkları ve operasyonel belirsizlikler oluşabilir.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,kolay
QA_A52_002,"Soru: Görev ayrılığı prensibi neden bilgi güvenliği için kritik bir kontrol olarak kabul edilir?","Görev ayrılığı, kritik işlemlerin tek bir kişi tarafından tamamlanmasını engelleyerek hata, kötü niyetli kullanım veya suistimal riskini azaltır. Kontrollerin bağımsız kişiler tarafından doğrulanmasını sağlar.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,orta
QA_A52_003,"Soru: Bir çalışanın hem satın alma hem de ödeme onayı süreçlerini yürütmesi ISO 27001'e göre neden sakıncalıdır?","Bu durum görev ayrılığı prensibini ihlal eder. Tek kişinin hem sipariş verme hem ödeme onaylama yetkisine sahip olması finansal suistimal riskini artırır ve kontrol zayıflığı oluşturur.",ISO27001,ISO_27001_AnnexA,ISO_5.2,senaryo,orta
QA_A52_004,"Soru: Bilgi güvenliği yöneticisinin (CISO) temel sorumlulukları neler olmalıdır?","CISO'nun temel görevleri; ISMS süreçlerinin yönetilmesi, risklerin raporlanması, politika geliştirilmesi, farkındalık eğitimlerinin koordinasyonu ve yönetimle iletişimin sağlanmasıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,kolay
QA_A52_005,"Soru: ISMS'de rol tanımları yapılırken yetki ve sorumluluk ilişkisi nasıl belirlenmelidir?","Yetkiler, sorumluluklarla tutarlı şekilde atanmalı; roller gereksiz geniş yetkilerle donatılmamalıdır. Yetki fazlalığı risk oluşturur, yetki eksikliği ise iş süreçlerini aksatır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,süreç,orta
QA_A52_006,"Soru: ISO 27001'e göre bilgi güvenliği rolleri tanımlı değilse hangi riskler oluşur?","Süreçler kişilere bağlı hale gelir, sorumluluklar belirsizleşir, denetim zayıflar ve hataların kime ait olduğu tespit edilemez. Bu durum uyumsuzluk oluşturur.",ISO27001,ISO_27001_AnnexA,ISO_5.2,risk,orta
QA_A52_007,"Soru: Görev ayrılığı ile least privilege prensibi arasındaki ilişki nedir?","Görev ayrılığı iş süreçlerinin bölünmesini sağlarken, least privilege kullanıcıların yalnızca gerekli minimum yetkilere sahip olmasını garanti eder. İkisi birlikte erişim risklerini azaltır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,orta
QA_A52_008,"Soru: Bir organizasyonda bilgi güvenliği rol ve sorumluluklarının belgelendiği doküman hangisidir?","Bu rol ve sorumluluklar genellikle 'Bilgi Güvenliği Sorumluluk Matrisi' veya 'RACI Matrisi' içinde tanımlanır ve ISMS doküman setinin parçası olarak tutulur.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,kolay
QA_A52_009,"Soru: Bir rol tanımı yapılırken hangi unsurlar mutlaka belirtilmelidir?","Görevler, yetkiler, sorumlu olunan varlıklar, raporlama ilişkileri, gerekli yetkinlikler ve performans kriterleri açıkça tanımlanmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,süreç,kolay
QA_A52_010,"Soru: Görev ayrılığı sağlanamadığında hangi telafi edici kontroller uygulanabilir?","Artırılmış denetim, işlem sonrası kontrol, çift onay mekanizması ve bağımsız gözden geçirme gibi telafi edici kontroller uygulanabilir.",ISO27001,ISO_27001_AnnexA,ISO_5.2,prosedür,orta
QA_A52_011,"Soru: ISMS kapsamında bir çalışanın sahip olduğu roller nasıl izlenmelidir?","Rol değişiklikleri ve yetki atamaları düzenli olarak gözden geçirilmeli, erişim kayıtları izlenmeli ve güncel rol envanteri tutulmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,prosedür,orta
QA_A52_012,"Soru: Bir organizasyonda bilgi güvenliği rolleri ile iş birimleri arasındaki koordinasyon nasıl sağlanmalıdır?","Düzenli toplantılar, süreç sahipliği tanımlamaları, iletişim kanalları ve dokümante edilmiş görev dağılımları ile koordinasyon sağlanır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,süreç,orta
QA_A52_013,"Soru: Rol çatışması nedir? Örnek veriniz.","Rol çatışması, bir çalışanın iki rolü aynı anda icra ederken birbirini etkilemesi veya güvenlik ihlali riski doğurmasıdır. Örneğin hem sistem yöneticisi hem erişim onaylayıcısı olmak rol çatışmasıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,tanım,orta
QA_A52_014,"Soru: ISMS rolleri belirlenirken üçüncü tarafların sorumlulukları nasıl ele alınmalıdır?","Dış hizmet sağlayıcıların görevleri SLA, sözleşme ve politika uyum maddeleriyle belirlenmeli; erişim hakları rol tanımlarına uygun şekilde sınırlandırılmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,süreç,zor
QA_A52_015,"Soru: Yönetim, bilgi güvenliği rollerinin etkinliğini nasıl değerlendirmelidir?","Performans ölçümleri, kontrol etkinliği değerlendirmeleri, denetim sonuçları ve olay raporları üzerinden düzenli analiz yapılmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.2,prosedür,orta
QA_A53_001,"Soru: ISO 27001 A.5.3'e göre bilgi güvenliği sorumluluklarının açıkça tanımlanması neden zorunludur?","Bilgi güvenliği sorumluluklarının açıkça tanımlanmaması, kritik kontrollerin sahipsiz kalmasına, olaylara geç müdahale edilmesine ve denetimlerde uyumsuzluk çıkmasına yol açar. A.5.3, tüm sorumlulukların kurumsal yapıda belirlenmesini zorunlu kılar.",ISO27001,ISO_27001_AnnexA,ISO_5.3,tanım,kolay
